interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"06-98-04-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-67-43-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-95-07-61","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"97-29-47-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-85-56-04","Yes","Yes",,"Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,3000,,,,,,,,,,
"50-63-58-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-89-69-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-36-47-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-44-22-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-51-86-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-39-49-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-03-84-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-82-95-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-52-11-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-43-90-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"30-40-96-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-67-24-08","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,6000,,,,,,,,,,
"51-50-93-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-76-57-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-63-24-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-67-98-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-72-61-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-84-88-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-81-03-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-19-96-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-97-00-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-19-90-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-29-31-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-42-40-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-79-64-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-96-72-87","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,15000,,,,,,,,,,
"19-29-74-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-00-29-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-86-12-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-11-26-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-32-74-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-96-93-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-68-16-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-19-19-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-94-31-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-37-92-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-55-58-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-96-07-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-06-19-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-66-34-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-59-99-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-05-57-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-22-42-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-11-12-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-31-75-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-59-45-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-58-66-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-83-81-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-38-54-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-79-00-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-37-46-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-21-05-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"91-17-37-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-30-57-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-37-91-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-41-06-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-86-62-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-25-72-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-97-42-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-84-03-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-68-95-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-87-67-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-06-55-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-68-03-52","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,8000,,,,,,,,,,
"31-09-93-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-42-64-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-99-25-24","Yes","Yes",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",,5000,,,,,,,,,,
"43-58-14-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-64-96-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-63-81-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"30-58-59-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-78-49-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-38-96-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-41-82-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-49-23-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-07-36-19","Yes","Yes",,"Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,10000,,,,,,,,,,
"18-35-86-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-62-04-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-36-66-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23-98-09-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-40-48-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-94-03-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-02-51-45","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-26-66-95","Yes","Yes",,"Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",,3000,,,,,,,,,,
"83-04-04-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-43-64-15","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,5000,,,,,,,,,,
"07-17-03-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-78-16-55","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-41-37-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-66-78-32","Yes","Yes",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",,20000,,,,,,,,,,
"19-38-64-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-79-30-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-36-46-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-33-47-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-36-42-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-26-25-13","Yes","Yes",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No",,8400,,,,,,,,,,
"73-14-84-43","Yes","Yes",,"Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No",,3000,,,,,,,,,,
"37-05-61-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-79-21-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-25-75-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-05-98-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-73-90-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-88-48-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
