interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"74-33-74-42","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"62-89-56-95","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"22-97-51-26","Dirt road/ bush road","Well passable","No","No","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"12-39-62-46","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"49-65-69-49","Murram/ gravel road","Almost not passable","Yes","Yes","Yes","No","No","Yes","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"15-16-01-28","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","No","No","No","No",,7,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"No","No","No","No","No","Yes","No",
"12-72-22-77","Dirt road/ bush road","Well passable","Yes","No","Yes","No","Yes","No","Yes","No",,2,"Yes","No",,"No",,,,,,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"08-25-51-14","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","No","No","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"32-65-79-67","Dirt road/ bush road","Well passable","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,5,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"19-38-65-61","Murram/ gravel road","Almost not passable","Yes","No","Yes","No","No","Yes","Yes","No",,15,"No",,,,,,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"17-45-14-15","Dirt road/ bush road","Well passable","No","No","Yes","No","No","No","No","No",,2,"Yes","No",,"No",,,,,,"Yes","No","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"44-89-53-23","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-93-14-98","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","No","Yes","No","No",,"No","No","Yes","No","No","No","No",
"55-94-46-33","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,5,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"34-96-75-45","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","Yes","No",,1,"Yes","No",,"No",,,,,,"No","No","No","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"81-41-37-07","Murram/ gravel road","Almost not passable","Yes","Yes","Yes","No","Yes","Yes","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"81-12-37-94","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,5,"Yes","No",,"No",,,,,,"No","No","Yes","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"90-10-67-97","Murram/ gravel road","Almost not passable","Yes","Yes","No","No","No","Yes","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"42-77-91-16","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","Yes","Yes","No","Yes","No",,2,"Yes","No",,"No",,,,,,"No","No","No","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"39-99-71-22","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","Yes","No","No","No",,"No","No","Yes","No","No","No","No",
"63-27-82-21","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,1,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"12-57-09-17","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,10,"Yes","No",,"No",,,,,,"Yes","Yes","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"48-80-14-71","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,1,"Yes","Yes","Yes","No",,,,,,"No","Yes","Yes","No","No","No","No","No",,"No","No","No","No","No","Yes","No",
"20-35-04-67","Dirt road/ bush road","Well passable","No","No","Yes","No","No","No","No","No",,5,"Yes","No",,"No",,,,,,"Yes","Yes","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"66-80-39-89","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"65-65-92-08","Dirt road/ bush road","Well passable","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,7,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"28-72-09-15","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,10,"Yes","No",,"No",,,,,,"No","No","Yes","No","No","No","No","No",,"No","No","No","No","Yes","No","No",
"93-50-38-85","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","Yes","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"54-94-37-06","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-40-54-13","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"Yes","No",,"No",,,,,,"No","No","No","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"86-74-30-03","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,7,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","Yes","No","No","No",,"No","No","No","No","No","Yes","No",
"42-16-79-97","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"Yes","No",,"No",,,,,,"No","No","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"40-03-97-68","Murram/ gravel road","Well passable","Yes","No","Yes","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"29-78-34-46","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,1,"Yes","No",,"No",,,,,,"Yes","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"80-80-63-46","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"No","Yes","No","No","No","No","No",
"82-00-06-77","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"39-18-34-69","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","Yes","No","No","No",,"No","No","No","Yes","No","No","No",
"06-74-60-98","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"96-59-50-58","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,1,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
