interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"13-98-20-22","Yes","Yes","No","Yes","Yes",200000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No"
"04-80-94-39","Yes","No","No","Yes","Yes",100000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No"
"28-75-01-80","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"30-19-51-31","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"29-29-81-12","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"83-66-69-06","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-43-59-91","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"97-96-91-38","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"27-34-90-31","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"23-72-17-40","Yes","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-58-22-39","No","Yes","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-79-33-71","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"69-57-31-01","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"60-54-64-58","Yes","No","No","No","Yes",400000,"No","No","No","No","No","No","No","Yes","No","Yes",,"Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"89-99-48-67","No","No","No","No","Yes",10000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"44-61-50-65","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"12-80-78-48","No","No","No","No","Yes",5000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"28-02-97-48","Yes","Yes","Yes","Yes","Yes",150000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"70-19-76-68","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"46-78-87-50","No","No","No","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No"
"18-43-40-98","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-39-55-52","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"82-64-50-66","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"46-02-32-25","No","No","No","Yes","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
