interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4b_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"91-14-48-53",1.92,15.28954022988506,2.105,3.68,15.18747126436782,2.369262865090403,6.093055954088952,2.556551724137931,25.76,8.865,.61,5.19,3.6,2.77,4.3,100.2958820375702,"00.03:31:07",211.1166666666667,"2023-06-28","05:59:01"
"20-26-28-94",2.93,15.28954022988506,1.39,2.81,10.83,5.32,5.46,2.13,27.05,7.08,.78,20.49,1.44,2.15,5.47,110.6195402298851,"00.02:07:21",127.35,"2023-06-28","11:37:12"
"23-89-23-81",2.14,15.28954022988506,1.89,3.42,20.2,4.48,7.44,2.15,34.66,7.28,.9617211948790896,16.08,3.28,4.800000000000001,5.45,129.5212614247641,"00.02:37:53",157.8833333333333,"2023-06-28","05:29:57"
"52-40-25-11",2.494899713467049,26.31,.79,3.840975609756097,21.13,5.01,9.184999999999999,2.556551724137931,25.85136494252874,6.08,.66,64.7,3.6,2.561504297994269,3.737280575539568,178.5075768634237,"00.04:01:32",241.5333333333333,"2023-06-28","05:50:06"
"58-44-00-29",2.494899713467049,18.61,1.58,3.840975609756097,15.18747126436782,3.51,9.184999999999999,2.556551724137931,25.85136494252874,8.42,.28,21.408,2.189914040114613,2.561504297994269,3.22,120.8956815923665,"00.04:25:11",265.1833333333333,"2023-06-28","05:48:44"
"94-81-60-01",4.29,15.28954022988506,.39,4.68,24.015,2.369262865090403,6.093055954088952,1.36,25.85136494252874,6.042600574712644,.98,11.17,1.23,2.64,2.47,108.8708245663058,"00.01:57:33",117.55,"2023-06-28","08:36:46"
"00-76-76-29",2.19,19.82,.61,6.165,15.18747126436782,6.03,6.093055954088952,2.556551724137931,41.17,8.300000000000001,.31,64.7,1.67,2.561504297994269,3.737280575539568,181.1008638161285,"00.03:24:10",204.1666666666667,"2023-06-28","08:46:18"
"30-24-92-73",3.07,23.52,1.89,3.46,14.27,5.29,6.63,4.29,24.51,6.21,.34,5.19,2.73,2.67,6.43,110.5,"00.02:50:33",170.55,"2023-06-28","09:35:32"
"23-53-41-46",3.03,14.56,.8,4.95,20.68,2.63,8.130000000000001,2.83,20.37,4.11,1.38,30.45,2.189914040114613,3.46,3.737280575539568,123.3071946156542,"00.02:37:51",157.85,"2023-06-28","06:33:03"
"62-55-13-64",2.29,14.22,1.59,6.165,22.24,6.06,4.91,2.556551724137931,34.56,4.5,2.04,20.41,3.49,2.561504297994269,2.19,129.7830560221322,"00.02:15:01",135.0166666666667,"2023-06-29","06:41:13"
"42-85-64-91",2.57,15.28954022988506,1.11,4.58,24.015,6.085,7.8,3.62,16.85,6.042600574712644,1.51,21.408,2.189914040114613,4.78,3.737280575539568,121.5873354202519,"00.03:12:11",192.1833333333333,"2023-06-28","08:26:23"
