interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"29-70-97-81","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2800000,"Monthly",1,.a,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"16-38-85-69","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"34-85-34-32","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Monthly",3,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"87-75-27-62","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",38000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"96-99-31-77","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",80000,"Monthly",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"clothes"
"92-21-19-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"72-81-88-52","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Every year",1,.a,.a,,"",,"",,"",0,3,1,2,0,0,0,4,"investment in agriculture"
"22-09-50-57","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Every 6 months",1,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"22-09-50-57","Rental income, residential property (apartment, house)",300000,"Every year",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"71-42-32-14","Rental income, commercial (shop, store)",10000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",2,1,0,0,0,0,0,0,""
"30-04-61-14","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",110000,"Every three months",1,.a,.a,"Healthcare benefits","","NGO","","Cash","",0,0,0,2,1,0,0,0,""
