interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"45-89-04-52","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"45-89-04-52","Savings, interest or other investment income",300000,"Monthly",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"45-89-04-52","Rental income, commercial (shop, store)",200000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"12-50-51-44","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,4,3,2,0,0,0,""
"37-66-37-12","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Monthly",1,.a,.a,"Poverty reduction program","","Both national and local governments","","Cash","",1,2,0,0,0,0,0,0,""
"52-54-55-08","Savings, interest or other investment income",15000,"Monthly",2,.a,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"32-13-89-08","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",100000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"85-25-22-09","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"85-25-22-09","Savings, interest or other investment income",10000,"Monthly",2,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"72-82-24-11","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Every three months",1,2,.a,,"",,"",,"",0,2,3,4,1,0,0,0,""
"36-18-65-12","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"39-19-67-67","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",250000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,2,1,0,0,0,0,""
"43-82-97-85","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",45000,"Every 6 months",1,2,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"23-89-23-81","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Every year",1,2,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"23-89-23-81","Rental income, residential property (apartment, house)",300000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"94-81-60-01","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",70000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"23-53-41-46","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",70000,"Every year",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"62-55-13-64","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",40000,"Every three months",2,.a,.a,,"",,"",,"",0,3,1,2,0,0,0,0,""
"90-50-65-07","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",70000,"Lump sum (single payment)",1,.a,.a,"Healthcare benefits","","NGO","","Food","",0,0,0,1,0,0,0,0,""
"38-66-21-90","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"38-66-21-90","Savings, interest or other investment income",300000,"Monthly",1,.a,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"44-00-42-23","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"08-14-33-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",12000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"13-11-49-85","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",90000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,4,3,2,0,0,0,""
