interview__key,r_buyers__id,sl_amt
"56-59-99-19","Direct buyers /open-air market","41-60%"
"10-22-42-13","Brokers/ middleman","More than 80%"
"46-31-75-02","Brokers/ middleman","More than 80%"
"44-58-66-87","Direct buyers /open-air market","21-40%"
"61-83-81-67","Brokers/ middleman","More than 80%"
"05-38-54-18","Brokers/ middleman","More than 80%"
"83-79-00-11","Direct buyers /open-air market","61-80%"
"01-37-46-42","Direct buyers /open-air market","More than 80%"
"91-17-37-47","Direct buyers /open-air market","less than 20%"
"78-30-57-92","Direct buyers /open-air market","41-60%"
"46-37-91-60","Direct buyers /open-air market","More than 80%"
"21-41-06-23","Brokers/ middleman","less than 20%"
"10-25-72-61","Brokers/ middleman","More than 80%"
"40-84-03-01","Brokers/ middleman","More than 80%"
"67-68-95-71","Brokers/ middleman","61-80%"
"40-87-67-76","Brokers/ middleman","More than 80%"
"53-06-55-30","Brokers/ middleman","More than 80%"
"27-68-03-52","Direct buyers /open-air market","41-60%"
"99-42-64-05","Direct buyers /open-air market","41-60%"
"50-99-25-24","Direct buyers /open-air market","More than 80%"
"39-49-23-24","Brokers/ middleman","More than 80%"
"01-07-36-19","Cooperatives / farmer association?","More than 80%"
"18-35-86-78","Brokers/ middleman","More than 80%"
"48-62-04-43","Brokers/ middleman","61-80%"
"23-98-09-79","Brokers/ middleman","More than 80%"
"10-94-03-72","Brokers/ middleman","More than 80%"
"99-02-51-45","Brokers/ middleman","21-40%"
"83-04-04-09","Direct buyers /open-air market","More than 80%"
"07-17-03-20","Brokers/ middleman","61-80%"
"83-78-16-55","Brokers/ middleman","41-60%"
"19-38-64-11","Brokers/ middleman","61-80%"
"16-36-46-03","Direct buyers /open-air market","More than 80%"
"29-33-47-98","Brokers/ middleman","less than 20%"
"53-26-25-13","Brokers/ middleman","41-60%"
"10-79-21-80","Direct buyers /open-air market","21-40%"
"42-55-71-95","Brokers/ middleman","More than 80%"
"71-15-20-71","Brokers/ middleman","61-80%"
"27-44-99-33","Brokers/ middleman","21-40%"
"36-68-49-71","Brokers/ middleman","less than 20%"
"68-16-01-33","Brokers/ middleman","More than 80%"
"61-84-87-27","Brokers/ middleman","21-40%"
"53-10-37-83","Brokers/ middleman","21-40%"
"20-43-08-03","Brokers/ middleman","less than 20%"
"82-59-96-75","Brokers/ middleman","21-40%"
"49-39-09-00","Brokers/ middleman","More than 80%"
"58-19-75-80","Direct buyers /open-air market","21-40%"
"75-69-40-10","Direct buyers /open-air market","less than 20%"
"75-69-40-10","Brokers/ middleman","21-40%"
"44-12-79-34","Direct buyers /open-air market","More than 80%"
"44-12-79-34","Brokers/ middleman","less than 20%"
"91-78-46-88","Direct buyers /open-air market","More than 80%"
"88-73-32-16","Direct buyers /open-air market","less than 20%"
"33-67-48-86","Brokers/ middleman","61-80%"
"94-42-36-98","Direct buyers /open-air market","less than 20%"
"28-69-62-69","Brokers/ middleman","More than 80%"
"49-95-19-41","Brokers/ middleman","61-80%"
"75-71-59-88","Direct buyers /open-air market","less than 20%"
"49-01-19-20","Brokers/ middleman","More than 80%"
"56-78-80-92","Brokers/ middleman","More than 80%"
"25-17-27-31","Direct buyers /open-air market","less than 20%"
"96-39-63-39","Direct buyers /open-air market","less than 20%"
"08-94-56-34","Brokers/ middleman","More than 80%"
"24-87-22-92","Brokers/ middleman","More than 80%"
"30-69-73-88","Brokers/ middleman","41-60%"
"72-71-89-86","Direct buyers /open-air market","21-40%"
"72-71-89-86","Brokers/ middleman","21-40%"
"69-48-65-88","Brokers/ middleman","61-80%"
"18-22-43-52","Brokers/ middleman","61-80%"
"06-32-94-30","Direct buyers /open-air market","21-40%"
"06-32-94-30","Brokers/ middleman","21-40%"
"30-41-77-21","Direct buyers /open-air market","More than 80%"
"13-48-51-56","Brokers/ middleman","More than 80%"
"47-32-69-47","Brokers/ middleman","less than 20%"
"77-95-12-00","Direct buyers /open-air market","21-40%"
"04-93-15-62","Brokers/ middleman","less than 20%"
"40-11-92-91","Brokers/ middleman","41-60%"
"75-26-65-92","Brokers/ middleman","More than 80%"
"76-79-59-51","Brokers/ middleman","21-40%"
"87-16-65-76","Brokers/ middleman","More than 80%"
"06-40-10-58","Direct buyers /open-air market","less than 20%"
"06-40-10-58","Brokers/ middleman","less than 20%"
"40-73-60-05","Brokers/ middleman","less than 20%"
"64-68-41-59","Direct buyers /open-air market","less than 20%"
"15-68-91-94","Brokers/ middleman","More than 80%"
"26-17-34-04","Brokers/ middleman","More than 80%"
"76-41-72-83","Direct buyers /open-air market","less than 20%"
"46-92-45-03","Brokers/ middleman","21-40%"
"77-97-94-83","Direct buyers /open-air market","More than 80%"
"44-20-73-48","Brokers/ middleman","More than 80%"
"74-52-06-68","Brokers/ middleman","More than 80%"
"39-90-60-06","Brokers/ middleman","41-60%"
"86-86-47-77","Direct buyers /open-air market","More than 80%"
"61-98-86-86","Brokers/ middleman","41-60%"
"61-87-19-25","Brokers/ middleman","61-80%"
"18-67-33-19","Direct buyers /open-air market","More than 80%"
"14-75-52-28","Direct buyers /open-air market","21-40%"
"14-75-52-28","Brokers/ middleman","61-80%"
"72-96-11-00","Direct buyers /open-air market","More than 80%"
"68-35-97-06","Direct buyers /open-air market","More than 80%"
"68-35-97-06","Cooperatives / farmer association?","less than 20%"
"00-22-25-11","Direct buyers /open-air market","less than 20%"
"03-51-85-17","Direct buyers /open-air market","less than 20%"
"03-51-85-17","Brokers/ middleman","less than 20%"
"26-31-55-52","Brokers/ middleman","61-80%"
"82-96-57-24","Brokers/ middleman","less than 20%"
"98-34-87-15","Direct buyers /open-air market","21-40%"
"20-44-39-67","Direct buyers /open-air market","21-40%"
"73-85-71-84","Brokers/ middleman","More than 80%"
"07-14-85-97","Direct buyers /open-air market","More than 80%"
"25-51-59-02","Brokers/ middleman","21-40%"
"98-34-54-09","Brokers/ middleman","less than 20%"
"85-72-34-53","Brokers/ middleman","21-40%"
"73-56-72-00","Brokers/ middleman","21-40%"
"39-00-66-90","Direct buyers /open-air market","less than 20%"
"52-72-83-96","Brokers/ middleman","More than 80%"
"27-89-15-08","Brokers/ middleman","61-80%"
"38-15-27-24","Brokers/ middleman","less than 20%"
"32-53-41-40","Brokers/ middleman","less than 20%"
"90-85-65-68","Brokers/ middleman","41-60%"
