interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"10-71-84-42","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","distrust","trust","trust","strongly trust","trust","Extremely worried","Extremely worried","Extremely worried","Very worried","Worried","Slightly worried","Worried","Not at all worried","Not at all worried","Not at all worried"
"49-18-02-61","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","indifferent","strongly trust","indifferent","indifferent","strongly trust","Not at all worried","Slightly worried","Not at all worried","Worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried"
"58-97-08-64","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Very worried","Worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"61-93-54-26","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Worried","Worried","Worried","Not at all worried","Not at all worried","Worried","Worried","Not at all worried"
"51-95-58-91","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Disagree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","trust","trust","trust","trust","indifferent","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"32-49-75-13","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","trust","trust","trust","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried"
"68-39-51-63","Disagree","Agree","Agree","Agree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","trust","trust","indifferent","trust","indifferent","Not at all worried","Not at all worried","Extremely worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"46-13-75-58","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","distrust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried"
"40-78-00-02","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Worried","Worried","Worried","Worried","Worried"
"69-63-50-52","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Not at all worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"20-96-52-92","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"37-33-23-29","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Strongly agree","Disagree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","distrust","distrust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried"
"55-09-60-79","Agree","Agree","Disagree","Indifferent (neither nor)","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","distrust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"13-88-02-80","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Not at all worried","Worried","Worried","Worried","Not at all worried","Worried","Worried","Worried"
"50-55-09-07","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Disagree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly disagree","Agree","Strongly disagree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","indifferent","trust","indifferent","indifferent","distrust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried","Not at all worried"
"85-93-95-50","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","indifferent","trust","trust","trust","trust","Extremely worried","Worried","Worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Very worried","Very worried","Extremely worried"
