interview__key,lndprep__1,lndprep__2,lndprep__3,lndprep__4,cp021__1,cp021__2,cp021__3,cp021_source__1,cp021_source__2,cp021_source__3,cp021_source__4,cp021_source__5,cp021_source__6,cp021_source__96,cp021_source_other,cp_plantdays,cp_weedays,cp_hvstdays,cp_lbrdays,irr_train,cp026__1,cp026__2,cp026__3,cp026__4,cp026__5,cp026__6,cp026__7,cp026__96,cp026_oth,cp028,cp028_inst__1,cp028_inst__2,cp028_inst__3,cp028_inst__4,cp028_inst__5,cp028_inst__6,cp028_inst__7,cp029,cp030,cp031,cp032,crop_residue__1,crop_residue__2,crop_residue__3,crop_residue__4,crop_residue__5,crop_residue__96
"42-85-64-91",0,1,0,0,"Yes","No","No",,,,,,,,,21,14,2,37,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"90-50-65-07",0,1,0,0,"Yes","No","No",,,,,,,,,2,3,3,2,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,,0,1,0,0,0,0
"54-70-24-21",0,1,0,0,"Yes","No","No",,,,,,,,,8,15,6,6,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"38-66-21-90",0,1,0,0,"Yes","No","No",,,,,,,,,3,5,2,3,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"32-53-90-85",0,1,0,0,"Yes","No","No",,,,,,,,,14,14,14,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"67-43-43-96",0,1,0,0,"Yes","No","No",,,,,,,,,6,3,5,5,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"30-12-86-30",0,1,0,0,"No","Yes","No",,,,,,,,,7,21,3,0,3,"Yes","Yes","Yes","No","No","No","No","No",,,"No","No","No","Yes","No","No","No",,,,,0,0,1,0,0,0
"18-64-04-51",0,1,0,0,"Yes","No","No",,,,,,,,,14,21,7,0,3,"Yes","No","No","No","No","No","No","No",,,,,,,,,,,,,,0,0,0,1,0,0
"44-00-42-23",0,1,0,0,"Yes","No","No",,,,,,,,,30,21,14,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"49-30-59-44",0,1,0,0,"Yes","No","No",,,,,,,,,10,7,2,0,2,"Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"08-14-33-80",0,1,0,0,"Yes","No","No",,,,,,,,,2,14,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"03-68-26-31",0,1,0,0,"Yes","No","No",,,,,,,,,8,12,5,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"76-88-86-20",0,1,0,0,"Yes","No","No",,,,,,,,,2,4,2,4,3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",,,"No","No","Yes","No","No","No","No",,,,,0,1,1,0,0,0
"41-48-09-97",0,1,0,0,"Yes","No","No",,,,,,,,,7,21,14,0,0,,,,,,,,,,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
"21-76-07-53",0,1,0,0,"Yes","No","No",,,,,,,,,10,30,14,2,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"01-41-01-54",0,1,0,0,"Yes","No","No",,,,,,,,,13,30,12,30,5,"Yes","Yes","Yes","No","No","Yes","Yes","No",,,"No","No","No","Yes","No","No","No",,,,,0,1,0,0,0,0
"13-11-49-85",0,1,0,0,"Yes","No","No",,,,,,,,,10,16,5,21,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"72-37-75-96",0,1,0,0,"Yes","No","No",,,,,,,,,4,30,4,6,1,"Yes","Yes","No","No","Yes","Yes","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"71-85-96-60",0,1,0,0,"Yes","Yes","No",,,,,,,,,9,2,14,3,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"92-03-64-77",0,1,0,0,"No","Yes","No",,,,,,,,,5,15,5,8,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"33-40-16-02",0,1,0,0,"Yes","No","No",,,,,,,,,3,14,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"55-06-75-57",0,1,0,0,"No","Yes","Yes","No","No","Yes","No","No","No","No",,1,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"01-05-06-43",0,1,0,0,"Yes","No","No",,,,,,,,,8,4,4,2,2,"Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,0,1,0,0,0,0
"12-46-80-99",0,1,0,0,"Yes","No","No",,,,,,,,,5,12,15,17,0,,,,,,,,,,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
"34-76-42-19",0,1,0,0,"Yes","No","No",,,,,,,,,9,12,4,25,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"62-44-56-00",0,1,0,0,"Yes","No","No",,,,,,,,,9,14,9,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"35-05-05-79",0,1,0,0,"No","Yes","No",,,,,,,,,14,14,21,21,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"00-88-32-67",0,1,0,0,"No","No","Yes","Yes","No","No","No","No","No","No",,1,30,1,1,1,"Yes","Yes","Yes","Yes","No","No","No","No",,,"No","No","No","Yes","No","No","No",,,,,0,1,0,0,0,0
"65-77-01-81",0,1,0,0,"Yes","No","No",,,,,,,,,15,14,5,25,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"68-46-66-56",0,1,0,0,"Yes","Yes","No",,,,,,,,,1,14,2,0,16,"Yes","Yes","No","No","No","No","No","No",,,"No","No","No","Yes","No","No","Yes",,,,,0,0,0,1,0,1
"30-46-23-21",0,1,0,0,"Yes","Yes","No",,,,,,,,,3,21,14,0,2,"Yes","Yes","No","No","No","No","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
"13-17-41-36",0,1,0,0,"Yes","No","No",,,,,,,,,30,21,2,8,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"99-55-34-47",0,1,0,0,"No","Yes","No",,,,,,,,,3,21,1,4,1,"No","Yes","No","No","No","No","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
"82-90-83-43",0,1,0,0,"Yes","No","No",,,,,,,,,3,8,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"98-51-51-03",0,1,0,0,"No","Yes","No",,,,,,,,,3,21,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"10-71-84-42",0,1,0,0,"Yes","Yes","No",,,,,,,,,1,3,5,5,8,"Yes","Yes","Yes","Yes","No","No","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,0,0,1,0,0
"49-18-02-61",0,1,0,0,"No","Yes","No",,,,,,,,,2,2,7,2,1,"Yes","Yes","Yes","Yes","No","No","No","No",,,,,,,,,,,,,,0,1,1,1,0,0
"58-97-08-64",0,1,0,0,"Yes","No","No",,,,,,,,,14,30,3,0,1,"No","Yes","No","No","No","No","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
"61-93-54-26",0,1,0,0,"Yes","Yes","No",,,,,,,,,7,8,0,14,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"51-95-58-91",0,1,0,0,"No","Yes","No",,,,,,,,,1,3,2,3,5,"No","Yes","No","Yes","No","No","No","No",,,,,,,,,,,,,,0,0,0,1,0,0
"32-49-75-13",0,1,0,0,"Yes","No","No",,,,,,,,,4,5,7,3,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"68-39-51-63",0,1,0,0,"No","Yes","No",,,,,,,,,2,3,1,6,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"46-13-75-58",0,1,0,0,"Yes","Yes","Yes","No","No","Yes","No","No","No","No",,12,10,28,24,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"40-78-00-02",0,1,0,0,"No","Yes","No",,,,,,,,,6,12,5,3,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"69-63-50-52",0,1,0,0,"Yes","Yes","No",,,,,,,,,4,7,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0
"20-96-52-92",0,1,0,1,"Yes","Yes","No",,,,,,,,,4,30,10,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"37-33-23-29",0,1,0,0,"Yes","No","Yes","No","No","Yes","No","No","No","No",,5,60,6,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"55-09-60-79",0,1,0,0,"Yes","Yes","No",,,,,,,,,4,14,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"13-88-02-80",0,1,0,0,"Yes","No","No",,,,,,,,,7,3,14,2,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"50-55-09-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-93-95-50",0,1,0,0,"Yes","No","No",,,,,,,,,7,30,60,0,0,,,,,,,,,,,"No","No","No","No","Yes","No","No",,,,,0,0,0,1,0,0
