country,interview_key,district,respondant_relation_to_head,members_id,gender,relation_to_head,age,education_level,farm_empl_last_12_months,farm_empl_cash_crops_days_per_week,farm_empl_cash_crops_hours_per_day,farm_empl_food_crops_days_per_week,farm_empl_food_crops_hours_per_day,farm_empl_crops_years_experience_in_years,farm_empl_livestock_years_experience_in_years,sector_off_farm_empl_last_12_months,empl_type,self_empl_duration_in_months,self_empl_days_per_week,self_empl_hours_per_day,self_empl_motivation_others_success,self_empl_motivation_unemployment,self_empl_motivation_insufficient_income_1,self_empl_motivation_insufficient_income_2,self_empl_motivation_insufficient_income_3,self_empl_motivation_inherited_business,self_empl_years_experience_in_years,wage_empl_location,wage_empl_type,wage_empl_permament_wage_per_month,wage_empl_permament_days_per_week,wage_empl_permament_hours_per_day,wage_empl_seasonal_wage,wage_empl_seasonal_duration_days_per_week,wage_empl_seasonal_duration_hours_per_day,wage_empl_contract_status,beans_allocated_to_empl_occupation,aspired_occupation_5_years_ahead,aspiration_continue_farming,agriculture_loan_last_5_years,agriculture_loan_amount,most_common_child_aspiration,land_cropland_ownership_status,market_output_distance_in_km,crop_contract,subsidy,enumeration_area,region,personal_id
Botswana,05-74-99-19,Chobe,,1,Female,Self/Head,44.0,Form 2,No,,,,,,,Retail trade,Self-employed/own business,35.0,6.0,16.0,No,Yes,No,No,No,No,5,,,,,,,,,,3.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,Likely,,,,,,,Botswana_05-74-99-19_1
Botswana,05-74-99-19,Chobe,,2,Male,Wife/Husband,49.0,Form 2,Yes,,,,,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,7.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,Very likely,,,,,,,Botswana_05-74-99-19_2
Botswana,58-76-16-53,CHOBE DISTRICT,,1,Male,Self/Head,68.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Continue to farming,No,,,,,,,,,Botswana_58-76-16-53_1
Botswana,14-93-43-30,CHOBE DISTRICT,,1,Female,Self/Head,54.0,Standard 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Not engaged in farming,No,,,,,,,,,Botswana_14-93-43-30_1
Botswana,11-82-86-61,Kasane,,1,Male,Self/Head,64.0,Form 3,Yes,,,3.0,8.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,4.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Both,No,,,Private owned with land title,128.0,No,No,,,Botswana_11-82-86-61_1
Botswana,03-50-12-90,Chobe District,,1,Male,Self/Head,44.0,Standard 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Crop farming/cultivation,Continue to farming,No,,"Maybe, maybe not",Private owned with land title,1.0,Yes,Yes,,,Botswana_03-50-12-90_1
Botswana,81-28-91-79,Chobe,,1,Male,Self/Head,65.0,No formal education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Self-employed agribusiness/agrienterprise,Continue to farming,No,,,Communally owned,1.0,No,No,,,Botswana_81-28-91-79_1
Botswana,87-17-87-24,chobe,,1,Male,Self/Head,63.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Crop farming/cultivation,Continue to farming,No,,Likely,Private owned with land title,,,,,,Botswana_87-17-87-24_1
Botswana,85-30-41-56,Chobe,Spouse,1,Male,Self/Head,33.0,Standard 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"Other service sector jobs (worker in hotels, restaurants, shops, security guards, etc.)",Other non-agricultural business,No,,,,,,,,,Botswana_85-30-41-56_1
Botswana,85-30-41-56,Chobe,Spouse,2,Female,Wife/Husband,42.0,Standard 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"Other service sector jobs (worker in hotels, restaurants, shops, security guards, etc.)",Other non-agricultural business,No,,,,,,,,,Botswana_85-30-41-56_2
