interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"85-71-09-15",450,0,0,0,1500,0,0,0
"64-51-39-39",,,,,,,,
"36-28-42-39",2760,0,0,0,6000,0,0,0
"95-09-61-15",,,,,,,,
"86-63-74-80",,,,,,,,
"67-27-36-61",,,,,,,,
"08-84-33-33",3000,0,0,7800,0,0,0,0
"07-50-91-84",6800,0,0,7000,3000,0,500,0
"87-71-97-91",2800,0,0,0,8,0,0,0
"72-05-40-32",4000,0,0,4000,3000,0,500,1000
"87-43-28-28",1500,0,0,0,0,0,200,0
"02-59-28-55",2000,0,0,0,0,0,0,0
"41-71-16-88",1875,0,0,0,3000,0,0,0
"91-57-08-43",,,,,,,,
"63-99-85-70",,,,,,,,
"65-43-78-90",840,0,0,1500,3000,0,0,0
"37-38-94-21",10000,0,0,24000,0,0,0,0
"77-42-43-43",1260,0,800,0,2000,0,0,0
"68-60-50-68",2000,0,0,0,1000,0,0,0
"46-89-69-47",,,,,,,,
"46-72-66-83",1800,0,0,7500,0,0,0,1000
"25-02-52-66",,,,,,,,
"55-56-28-22",3600,0,0,18000,10000,0,200,0
"99-17-74-11",,,,,,,,
"46-53-61-02",2500,0,0,0,0,0,0,0
"10-77-75-51",,,,,,,,
"71-70-88-23",840,0,0,0,0,0,300,0
"50-33-80-84",,,,,,,,
"21-95-76-65",,,,,,,,
"91-60-65-39",3000,0,0,0,5000,0,0,0
"42-15-16-06",,,,,,,,
"00-11-52-27",,,,,,,,
"87-56-56-81",,,,,,,,
"81-79-89-86",,,,,,,,
"10-18-23-80",1500,0,0,0,3000,0,200,0
"65-08-75-81",4500,0,0,0,14000,0,200,0
"71-59-52-11",2400,0,0,0,4500,0,0,0
"31-09-36-85",4200,0,0,3500,1500,0,400,0
"29-04-00-40",,,,,,,,
"72-18-38-35",,,,,,,,
"83-34-07-73",,,,,,,,
"70-36-24-93",2500,0,0,8500,2000,0,0,0
"64-46-73-61",,,,,,,,
"13-37-47-48",420,0,0,0,0,0,500,1000
"22-02-49-30",,,,,,,,
"97-28-37-38",,,,,,,,
