interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"67-12-09-24",,,,"",,"",,,,,,,,,,,,
"63-23-35-27",,,,"",,"",,,,,,,,,,,,
"04-92-66-81",7,2,"Market in this village","","No","","No",,,,,,,,,,,
"93-87-16-02",,,,"",,"",,,,,,,,,,,,
"65-31-14-31",,,,"",,"",,,,,,,,,,,,
"19-27-66-46",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"08-44-37-94",,,,"",,"",,,,,,,,,,,,
"71-04-48-02",,,,"",,"",,,,,,,,,,,,
"24-04-95-50",,,,"",,"",,,,,,,,,,,,
"27-66-11-12",,,,"",,"",,,,,,,,,,,,
"11-10-12-08",,,,"",,"",,,,,,,,,,,,
"10-98-84-98",4,4,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"97-63-71-09",,,,"",,"",,,,,,,,,,,,
"11-29-74-23",,,,"",,"",,,,,,,,,,,,
"59-89-68-30",16,16,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"22-38-73-99",,,,"",,"",,,,,,,,,,,,
"81-45-95-70",4,4,"Market in this village","","No","","No",,,,,,,,,,,
"16-03-96-06",7,2,"Market in this village","","No","","No",,,,,,,,,,,
"81-14-42-85",,,,"",,"",,,,,,,,,,,,
"22-88-97-60",,,,"",,"",,,,,,,,,,,,
"47-75-71-27",,,,"",,"",,,,,,,,,,,,
"10-39-00-99",8,2,"Market in this village","","No","","No",,,,,,,,,,,
"96-06-62-42",,,,"",,"",,,,,,,,,,,,
"11-59-44-40",,,,"",,"",,,,,,,,,,,,
"27-51-81-61",,,,"",,"",,,,,,,,,,,,
"44-37-52-83",,,,"",,"",,,,,,,,,,,,
"45-92-75-89",,,,"",,"",,,,,,,,,,,,
"85-71-09-15",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"64-51-39-39",,,,"",,"",,,,,,,,,,,,
"36-28-42-39",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"95-09-61-15",,,,"",,"",,,,,,,,,,,,
"86-63-74-80",,,,"",,"",,,,,,,,,,,,
"67-27-36-61",,,,"",,"",,,,,,,,,,,,
"08-84-33-33",4,4,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"07-50-91-84",8,8,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"87-71-97-91",7,7,"Market in this village","","No","","No",,,,,,,,,,,
"72-05-40-32",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"87-43-28-28",2,2,"Market in this village","","No","","No",,,,,,,,,,,
"02-59-28-55",20,4,"Market in this village","","No","","No",,,,,,,,,,,
"41-71-16-88",16,16,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"91-57-08-43",,,,"",,"",,,,,,,,,,,,
"63-99-85-70",,,,"",,"",,,,,,,,,,,,
"65-43-78-90",16,16,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"37-38-94-21",3,3,"Market in this village","","No","","No",,,,,,,,,,,
"77-42-43-43",12,12,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"68-60-50-68",10,10,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"46-89-69-47",,,,"",,"",,,,,,,,,,,,
"46-72-66-83",13,13,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"25-02-52-66",,,,"",,"",,,,,,,,,,,,
"55-56-28-22",13,13,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"99-17-74-11",,,,"",,"",,,,,,,,,,,,
"46-53-61-02",10,10,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"10-77-75-51",,,,"",,"",,,,,,,,,,,,
"71-70-88-23",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"50-33-80-84",,,,"",,"",,,,,,,,,,,,
"21-95-76-65",,,,"",,"",,,,,,,,,,,,
"91-60-65-39",15,15,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"42-15-16-06",,,,"",,"",,,,,,,,,,,,
"00-11-52-27",,,,"",,"",,,,,,,,,,,,
"87-56-56-81",,,,"",,"",,,,,,,,,,,,
"81-79-89-86",,,,"",,"",,,,,,,,,,,,
"10-18-23-80",16,16,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"65-08-75-81",16,16,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
