interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"47-75-71-27","Wood for charcoal production",2,"90 kg bag","","Yes",2,"90 kg bag","","No",450,"No",,"Slight increase","Massive increase","prosobis cover increased",""
"47-75-71-27","Timber or poles",20,"Numbers","","Yes",20,"Numbers","","No",80,"No",,"Slight increase","Massive increase","acacia and prosobis continues to grow",""
"10-39-00-99","Firewood",72,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"96-06-62-42","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","human activities"
"11-59-44-40","Firewood",5,"Bale / Bundle","","Yes",3,"Bale / Bundle","","No",50,"No",,"Slight decrease","Massive decrease","","population growth"
"27-51-81-61","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","forest destruction"
"44-37-52-83","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population growth"
"45-92-75-89","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","Increasing growth and spread of prosopis juliflora",""
"85-71-09-15","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"64-51-39-39","Firewood",50,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"64-51-39-39","Wood for charcoal production",20,"90 kg bag","","Yes",20,"90 kg bag","","No",600,"No",,"Slight decrease","Massive decrease","","The activity is relied upon by most community members"
"36-28-42-39","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Population increases"
"95-09-61-15","Firewood",8,"Bunches","","No",,,"",,,"No",,"Slight increase","Slight increase","Firewood trees continues to grow",""
"95-09-61-15","Wood for charcoal production",50,"90 kg bag","","Yes",40,"90 kg bag","","No",500,"No",,"Slight increase","Slight decrease","dermacated lands",""
"86-63-74-80","Wood for charcoal production",96,"Bale / Bundle","","Yes",90,"90 kg bag","","Yes",500,"No",,"Slight decrease","Massive decrease","","defforestation"
"67-27-36-61","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","clearing of vegetation and trees for crop cultivation and human habitats"
"08-84-33-33","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","competition"
