interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s14_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"01-51-99-07",3.610871886120997,21.29,3.502999999999998,3.918877005347594,4.434168126094571,6.248379790940766,7.91,5.061836007130124,23.83916221033868,6.207379679144385,.8519434628975265,25.13,1.568812056737589,3.247140319715808,3.526886120996441,3.532326820603908,123.8807834860684,"00.03:21:43",201.7166666666667,"2023-07-14","06:37:55"
"39-75-97-43",1.99,29.118,1.466543209876543,3.918877005347594,.15,9.529999999999999,5.030604982206405,8.75,23.83916221033868,5.47,.8519434628975265,18.56,1.568812056737589,5.958,3.526886120996441,2.66,122.3888290484008,"00.04:16:19",256.3166666666667,"2023-07-14","11:08:55"
"11-52-82-38",2.4,23.98,2.06,5.43,4.434168126094571,6.85,8.539999999999999,5.061836007130124,23.83916221033868,8.75,.51,17.17390374331551,2.964999999999999,5.42,3.526886120996441,3.58,124.5209562078753,"00.03:20:06",200.1,"2023-07-14","10:31:42"
"19-06-13-08",1.98,18.18393939393939,.75,3.918877005347594,4.434168126094571,6.1,4.38,8.58,31.41,6.72,1.17,12.42,.99,2.62,3.526886120996441,2.59,109.773870646378,"00.01:59:45",119.75,"2023-07-15","11:32:35"
"74-04-26-51",3.610871886120997,22.74,2.12,4.36,11.856,.31,5.030604982206405,5.061836007130124,30.82,8.880000000000001,2.109,16.52,2.964999999999999,4.29,6.53,3.53,130.7333128754575,"00.03:28:43",208.7166666666667,"2023-07-14","14:15:33"
"37-83-74-10",3.610871886120997,12.08,.45,6.29,4.434168126094571,9.32,5.15,6.55,23.83916221033868,6.91,.32,24.86,1.568812056737589,4,6.39,2.78,118.5530142792918,"00.02:34:03",154.05,"2023-07-15","06:05:47"
"39-40-38-02",3.79,26.13,1.07,3.918877005347594,.13,6.248379790940766,5.030604982206405,8.857999999999999,23.83916221033868,7.26,.28,24.13,2.964999999999999,4.87,6.37,3.63,128.5200239888334,"00.02:58:29",178.4833333333333,"2023-07-15","09:14:55"
"14-71-87-39",5.19,19.32,3.502999999999998,6.29,4.434168126094571,.29,6.95,7.12,15.66,6.207379679144385,.8519434628975265,17.17390374331551,1.27,4.38,3.526886120996441,6.089,108.2562811324484,"00.01:55:45",115.75,"2023-07-15","13:23:52"
"86-00-55-84",3.610871886120997,18.18393939393939,1.466543209876543,3.918877005347594,4.434168126094571,6.81,5.030604982206405,5.061836007130124,35.239,6.207379679144385,.8519434628975265,17.17390374331551,1.26,3.247140319715808,3.526886120996441,3.532326820603908,119.5554207573892,"00.04:30:01",270.0166666666667,"2023-07-15","05:43:25"
"76-73-19-09",6.4,25.63,2.72,3.78,.43,.13,5.030604982206405,8.857999999999999,27.73,7.58,.52,17.17390374331551,2.964999999999999,3.04,6.72,4.49,123.1975087255219,"00.02:32:45",152.75,"2023-07-14","13:45:04"
