interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"93-87-16-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-31-14-31","Yes","Yes",,"Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No",,3000,,,,,,,,,,
"19-27-66-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-44-37-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-04-48-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-04-95-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-66-11-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-10-12-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-98-84-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-63-71-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-29-74-23","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,300,,,,,,,,,,
"59-89-68-30","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"22-38-73-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-45-95-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-03-96-06","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-14-42-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-88-97-60","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"47-75-71-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-39-00-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-06-62-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-59-44-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-51-81-61","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,100,,,,,,,,,,
"44-37-52-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-92-75-89","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"85-71-09-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-51-39-39","Yes","Yes",,"Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No",,500,,,,,,,,,,
"36-28-42-39","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"95-09-61-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-63-74-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-27-36-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-84-33-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-50-91-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-71-97-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-05-40-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
