interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"73-01-79-27","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"61-70-56-76","No","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-74-92-32","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"69-39-88-08","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-74-84-66","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"15-82-53-55","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"46-71-69-87","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"05-64-42-77","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"65-63-71-66","No","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"15-51-80-47","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"32-74-61-81","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"36-59-31-86","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"73-83-46-14","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-04-05-10","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"99-97-90-90","Yes","Yes","Yes","No","Yes",800,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"53-39-03-44","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"85-50-39-09","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"46-32-17-36","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-98-37-69","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"65-26-91-15","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"65-45-62-39","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"47-59-10-25","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"03-90-73-99","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"43-25-90-61","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"49-70-00-09","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"06-94-49-47","No","No","Yes","No","Yes",6000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"19-04-54-37","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"59-57-12-16","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"49-28-72-36","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No"
"93-14-44-32","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"51-90-88-91","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-47-74-84","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"66-45-27-28","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"61-66-59-51","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"78-64-43-02","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-79-38-80","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"03-23-67-97","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"84-81-25-13","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"01-19-86-40","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"69-16-25-63","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"58-95-91-31","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"11-58-78-70","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"41-24-59-26","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"98-97-38-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"92-08-97-62","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"59-21-82-77","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-20-31-51","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"33-11-85-60","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
