interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"26-37-34-30",5.149999999999999,16.55,1.32,7.85,18.618,6.43,4.51,2.43,28.88,3.876,.55,29.19,.92,3.21,2.85,132.334,"00.02:22:54",142.9,"2023-06-06","10:35:37"
"57-72-53-25",3.76,32.31,2.14,7.625558739255014,10.25063037249284,4.337118644067797,5.024928366762178,3.720458452722063,24.26126074498567,5.904485714285714,1.94,20.71,1.371647727272727,3.344212034383954,3.54,130.240300796228,"00.04:39:59",279.9833333333333,"2023-06-06","07:16:53"
"15-31-68-47",2.02,15.39,2.404,11.944,6.2,8.550000000000001,7.51,3.720458452722063,37.694,4.38,.98,30.7,1.27,3.344212034383954,8.489999999999998,144.596670487106,"00.02:29:34",149.5666666666667,"2023-06-06","07:49:56"
"54-23-26-42",2.57,19.38002865329513,1.119318181818182,7.625558739255014,10.25063037249284,4.337118644067797,5.024928366762178,3.720458452722063,37.61,5.904485714285714,1.000571428571429,16.79,1.371647727272727,3.344212034383954,5.21,125.258958314927,"00.03:52:34",232.5666666666667,"2023-06-05","07:03:13"
"06-33-74-17",3.13,19.38002865329513,.4,7.625558739255014,10.25063037249284,.12,3.35,2.32,16.58,7.87,1.03,13.08,1.35,2.91,4.04,93.43621776504298,"00.01:06:47",66.78333333333333,"2023-06-07","13:00:32"
"09-17-76-18",2.76,21.93,.78,7.625558739255014,12.93,.41,6.1,6.01,27.06,8.542,.48,11.58,1.371647727272727,1.52,2.5,111.5992064665277,"00.02:08:20",128.3333333333333,"2023-06-07","10:46:24"
"91-72-91-72",1.74,32.31,1.12,11.944,10.25063037249284,4.337118644067797,8.15,6.267999999999999,18.62,6.03,.99,7.78,2.09,5.7,3.3,120.6297490165606,"00.02:31:10",151.1666666666667,"2023-06-07","07:44:28"
"07-58-36-50",2.19,10.55,1.119318181818182,7.625558739255014,7.18,10.184,5.024928366762178,3.720458452722063,24.26126074498567,5.904485714285714,1.000571428571429,17.45193732193732,.6899999999999999,3.344212034383954,4.359570200573066,104.6063011852946,"00.01:41:39",101.65,"2023-06-07","15:34:09"
"27-63-39-98",2.04,28.08,1.49,7.625558739255014,9.82,.44,8.212,5.7,37.41,5.904485714285714,.65,19.76,1.371647727272727,3.344212034383954,2.74,134.5879042151974,"00.03:03:26",183.4333333333333,"2023-06-07","08:00:21"
"31-14-07-01",2.14,25.26,.88,7.625558739255014,9.630000000000001,4.337118644067797,8.212,3.720458452722063,24.26126074498567,5.904485714285714,1.000571428571429,16.76,1.371647727272727,3.64,4.17,118.9131014511604,"00.02:49:21",169.35,"2023-06-07","10:30:10"
"96-79-76-17",5.149999999999999,32.31,1.119318181818182,11.944,10.25063037249284,10.184,5.024928366762178,3.720458452722063,29.28,5.904485714285714,.84,17.45193732193732,1.371647727272727,3.344212034383954,8.109999999999999,146.005618171675,"00.06:02:00",362,"2023-06-07","07:59:33"
"23-90-90-29",5.149999999999999,19.68,1.59,10.02,10.28,.23,5.024928366762178,6.267999999999999,24.26126074498567,5.45,.39,24.18,2.242,5.778,5.65,126.1941891117478,"00.02:49:00",169,"2023-06-07","08:07:33"
"99-47-47-96",3.062378223495702,24.5,1.119318181818182,7.625558739255014,8.300000000000001,7.71,2.726,3.720458452722063,24.78,5.904485714285714,.4,17.45193732193732,1.82,1.52,2.87,113.510136633514,"00.03:03:00",183,"2023-06-07","08:07:00"
"48-69-67-88",3.062378223495702,19.38002865329513,1.119318181818182,7.625558739255014,10.25063037249284,.16,5.024928366762178,3.720458452722063,14.38,3.876,1.82,19.96,1.98,2.82,4.359570200573066,99.53887119041417,"00.01:25:39",85.65000000000001,"2023-06-07","14:07:49"
"93-76-93-98",3.98,29.04,.45,11.23,10.25063037249284,3.15,5.24,4.51,28.87,8.359999999999999,1.000571428571429,14.27,1.371647727272727,3.37,4.28,129.372849528337,"00.02:03:53",123.8833333333333,"2023-06-07","08:09:51"
"02-49-04-36",1.78,12.89,1.33,11.944,10.25063037249284,10.184,5.024928366762178,5.23,15.46,5.904485714285714,.51,17.45193732193732,1.04,3.344212034383954,8.489999999999998,110.834193809862,"00.03:00:39",180.65,"2023-06-07","11:40:18"
"97-96-55-67",4,9.968,.57,5.12,7.58,2.04,7.08,3.83,28.67,5.904485714285714,.42,25.95,.83,2.35,6.6,110.9124857142857,"00.02:29:29",149.4833333333333,"2023-06-07","10:20:05"
"55-00-90-34",3.062378223495702,26.65,1.35,6.15,10.51,.6,8.212,5.05,30.35,6.01,1.43,17.45193732193732,1.6,5.778,4.56,128.764315545433,"00.02:52:02",172.0333333333333,"2023-06-06","11:25:47"
