interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"66-47-36-80",60,60,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"55-47-02-66",40,40,"Market in this village","","No","","No",,,,,,,,,,,
"69-74-76-81",,,,"",,"",,,,,,,,,,,,
"25-51-33-57",20,20,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"99-83-71-81",25,25,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"30-46-44-49",120,120,"Others ➡️ Specify","it's for food consumption","No","","No",,,,,,,,,,,
"03-30-12-96",3,3,"Market in this village","","Yes","MAIZE","No",,,,,,,,,,,
"35-16-22-13",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"96-28-28-46",90,90,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"10-32-26-69",100,100,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"68-75-69-07",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"02-58-63-69",25,25,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"58-12-98-10",40,4,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"22-68-19-10",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"99-42-05-34",110,110,"Market in this village","","No","","No",,,,,,,,,,,
"21-29-11-98",0,0,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"06-11-50-44",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"38-44-09-59",80,80,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"81-45-35-86",10,10,"Urban market (town) in this region","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"83-11-66-41",3,3,"Market in this village","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"45-34-02-51",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"26-37-15-28",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"73-50-61-74",25,25,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"58-09-34-36",50,50,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"94-78-30-89",27,27,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"97-62-61-29",25,25,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"16-35-49-05",25,25,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"18-48-69-27",40,40,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"30-61-23-28",17,17,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"91-09-11-51",45,45,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"03-15-59-01",100,100,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"51-88-98-79",55,55,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"38-99-58-33",5,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"73-78-76-86",55,55,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"16-76-51-56",,,,"",,"",,,,,,,,,,,,
"34-75-99-64",50,50,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"00-76-59-09",30,30,"Market in this village","","No","","No",,,,,,,,,,,
"03-36-35-32",15,15,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"66-74-25-56",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"80-48-62-68",35,35,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"67-59-61-49",95,95,"Market in this village","","No","","No",,,,,,,,,,,
