interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"83-00-22-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"53-00-05-97",1,"No",,"No","No intention to migrate",,"",,,,,,
"53-00-05-97",2,"No",,"No","No intention to migrate",,"",,,,,,
"53-00-05-97",3,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",1,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",2,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",3,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",4,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",5,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",6,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",7,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",8,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",9,"No",,"No","No intention to migrate",,"",,,,,,
"57-74-38-33",10,"No",,"No","No intention to migrate",,"",,,,,,
"65-24-72-96",1,"No",,"No","No intention to migrate",,"",,,,,,
"65-24-72-96",2,"No",,"No","No intention to migrate",,"",,,,,,
"65-24-72-96",3,"No",,"No","No intention to migrate",,"",,,,,,
"65-24-72-96",4,"No",,"No","No intention to migrate",,"",,,,,,
"65-24-72-96",5,"No",,"No","No intention to migrate",,"",,,,,,
"67-69-19-83",1,"No",,"No","No intention to migrate",,"",,,,,,
"67-69-19-83",2,"No",,"No","No intention to migrate",,"",,,,,,
"65-02-79-39",1,"No",,"No","No intention to migrate",,"",,,,,,
"65-02-79-39",2,"No",,"No","No intention to migrate",,"",,,,,,
"36-55-19-74",1,"No",,"No","No intention to migrate",,"",,,,,,
"36-55-19-74",2,"No",,"No","No intention to migrate",,"",,,,,,
"02-47-11-50",1,"No",,"No","No intention to migrate",,"",,,,,,
"34-55-62-08",1,"No",,"No","No intention to migrate",,"",,,,,,
