interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"38-99-58-33","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"38-99-58-33","Medicinal plants",2,"50 kg bag","","Yes",900,"50 kg bag","","No",300,"No",,"Massive decrease","Massive decrease","","The demand of the resource in the area is alarming and this has led to the decrease of the plant"
"73-78-76-86","Firewood",6,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight increase","","High practice of deforestation and timber"
"73-78-76-86","Sand, stone, mud",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"16-76-51-56","Firewood",5,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high practice of timber"
"34-75-99-64","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"34-75-99-64","Sand, stone, mud",12,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"00-76-59-09","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Slight increase","More trees keep growing",""
"03-36-35-32","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"66-74-25-56","Firewood",2,"Oxcart","","Yes",5,"Oxcart","","No",100,"No",,"Slight decrease","Massive decrease","","Deforestation"
"80-48-62-68","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight increase","",""
"67-59-61-49","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"23-88-68-38","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"24-58-49-24","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"27-73-91-69","Firewood",120,"Numbers","","No",,,"",,,"No",,"The same","Slight decrease","",""
"88-41-94-49","Firewood",1,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"83-47-45-70","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"06-72-44-70","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Bush fire"
"85-25-38-04","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"99-72-02-18","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"99-72-02-18","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"The same","The same","",""
"76-93-76-77","Firewood",5,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Over harvesting methods"
"76-93-76-77","Timber or poles",25,"Numbers","","No",,,"",,,"Yes",150,"Slight decrease","Slight decrease","","Over harvesting"
"76-93-76-77","Sand, stone, mud",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"25-81-57-24","Firewood",12,"Oxcart","","No",,,"",,,"Yes",1800,"The same","The same","",""
"25-81-57-24","Wood for charcoal production",24,"50 kg bag","","No",,,"",,,"Yes",2400,"The same","Slight decrease","",""
"18-66-56-26","Firewood",3,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"38-35-03-16","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"38-35-03-16","Wild fruits",5,"25kg bag","","No",,,"",,,"No",,"The same","Slight decrease","",""
"87-43-13-02","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","climate change and other cutting down trees for"
"06-72-27-90","Firewood",12,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"10-09-48-91","Firewood",2,"Oxcart","","No",,,"",,,"Yes",100,"The same","The same","",""
"10-09-48-91","Wild fruits",1,"50 kg bag","","No",,,"",,,"No",,"The same","The same","",""
"89-20-17-64","Firewood",30,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","High practice of deforestation and timber"
"61-30-29-22","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"61-30-29-22","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Bush fire and agriculture expansion"
"32-64-82-60","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"05-69-71-03","Firewood",10,"Oxcart","","No",,,"",,,"No",,"Slight increase","Slight increase","because they don't cut trees any how in the villages",""
"05-69-71-03","Timber or poles",5,"Oxcart","","Yes",3,"Oxcart","","No",30,"No",,"The same","The same","",""
"05-69-71-03","Sand, stone, mud",5,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"62-54-48-69","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"62-54-48-69","Timber or poles",76,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"62-54-48-69","Wild fruits",3,"10kg bag","","No",,,"",,,"No",,"The same","The same","",""
"40-71-41-17","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"40-71-41-17","Wild fruits",10,"50 kg bag","","No",,,"",,,"No",,"The same","The same","",""
"59-04-18-69","Firewood",20,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"99-19-59-36","Firewood",576,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"99-19-59-36","Timber or poles",300,"Numbers","","No",,,"",,,"Yes",500,"The same","Massive decrease","",""
"99-19-59-36","Wild fruits",4,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"66-80-07-88","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"66-80-07-88","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","high deforestation rates"
"33-91-72-59","Firewood",12,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high practice of deforestation"
"33-91-72-59","Sand, stone, mud",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"79-95-75-64","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","Massive decrease","",""
"36-27-38-94","Firewood",10,"Canter","","No",,,"",,,"No",,"The same","The same","",""
"20-85-41-55","Firewood",210,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"99-41-30-80","Firewood",9,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"71-06-23-24","Firewood",24,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"71-06-23-24","Wild fruits",8,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"89-01-00-04","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
