interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"49-92-48-01","Dirt road/ bush road","Very well passable, in both rainy and dry season","No","No","No","No","Yes","No","No","No",,70,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"86-85-54-02","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"25-71-60-55","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"52-17-01-39","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,100,"Yes","No",,"No",,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"85-68-71-94","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","Yes","No","No","No",,120,"Yes","No",,"No",,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"88-33-53-02","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"73-16-52-51","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,180,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"29-32-71-31","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,360,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"08-80-55-70","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"58-68-82-05","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"40-89-66-86","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,32,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"88-30-77-96","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,300,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"72-26-90-86","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","No","No","Yes","No","No","No",,50,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"49-59-81-92","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","No","No","No","No","No","No","No",,32,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"21-01-20-88","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,180,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"79-70-14-90","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"80-75-47-72","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","No","No","Yes","No","No","No",,140,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"56-08-93-09","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"17-42-48-26","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"48-20-15-07","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,30,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"14-03-97-85","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"85-88-72-49","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,180,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"44-34-38-88","Tarmac road","Very well passable, in both rainy and dry season","No","No","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"83-00-22-24","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,4,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"53-00-05-97","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","No","No","Yes","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"57-74-38-33","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No",
"65-24-72-96","None of these","Very well passable, in both rainy and dry season","No","Yes","No","No","Yes","No","Yes","No",,2,"Yes","No",,"No",,"No","Yes","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"67-69-19-83","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"65-02-79-39","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"36-55-19-74","None of these","Well passable","Yes","Yes","No","No","Yes","No","No","No",,2,"Yes","No",,"No",,"No","No","No","No","No","No","Yes","No",,,"No","No","No","Yes","Yes","No",
"02-47-11-50","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"34-55-62-08","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"21-53-06-24","Tarmac road","Very well passable, in both rainy and dry season","No","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"54-20-19-80","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"77-37-06-75","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,80,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"17-29-45-21","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"14-98-54-79","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No",
"74-43-35-64","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","Yes",
"02-76-65-17","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,120,"Yes","No",,"No",,"No","No","No","No","No","No","Yes","No",,,"No","No","No","No","Yes","No",
"91-57-65-34","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"61-08-28-75","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"08-98-76-07","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,50,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"07-58-78-17","Tarmac road","Very well passable, in both rainy and dry season","No","Yes","No","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"50-08-29-58","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"21-97-24-76","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"47-86-23-98","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","No","No","Yes","No","No","No",,120,"No",,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"58-41-17-07","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
