interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"57-12-45-97","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,80,,,,,,,,,,
"96-34-22-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-38-35-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-06-20-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-25-36-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-05-30-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-01-20-35","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,400,,,,,,,,,,
"67-87-75-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-81-28-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-29-47-18","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"22-59-76-95","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-80-21-51","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,60,,,,,,,,,,
"21-25-86-78","Yes","Yes",,"Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No",,400,,,,,,,,,,
"28-99-62-67","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"14-08-31-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"43-12-71-52","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"64-05-81-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-46-02-95","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"45-07-09-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-28-82-48","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"72-80-69-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-89-78-78","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,299,,,,,,,,,,
"07-52-31-91","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"99-68-20-94","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,20,,,,,,,,,,
"84-66-38-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-36-01-20","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","Yes","No","No",,700,,,,,,,,,,
"05-30-74-26","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"22-19-53-02","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,30,,,,,,,,,,
"20-37-92-05","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"67-95-64-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"67-07-39-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-66-07-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-69-50-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-41-55-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-40-82-80","Yes","Yes",,"No","No","No","No","No","No","No","No","No","Yes","No","No","No",,400,"No","Yes","No","Yes","No","No","No","No","No",
"23-54-03-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-20-78-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-90-94-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-79-50-93","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"83-85-13-86","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,30,,,,,,,,,,
"91-24-08-83","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"25-32-96-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
