interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"97-60-60-10",2,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"77-34-61-84",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"51-45-20-69",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"56-62-79-46",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"11-13-66-94",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"15-09-86-52",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"91-02-01-07",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"38-98-52-39",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"91-79-46-21",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"09-72-08-00",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"25-52-14-98",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"54-44-91-10",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"76-65-29-85",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"02-98-88-27",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"94-29-79-85",2,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","From neighbor's house","Covered pit patrine with slab",""
"73-36-17-40",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"42-46-38-01",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","VIP latrine",""
"73-70-95-80",1,"Iron sheets","","Other➡️ Please specify","Reed","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"72-84-79-72",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"65-38-87-54",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"94-91-03-07",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"43-00-27-37",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"97-63-44-51",10,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"13-97-69-06",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"64-91-38-41",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"81-33-83-30",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"19-42-84-15",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"13-49-27-25",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"08-12-43-59",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"82-85-64-69",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"22-02-04-35",7,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"00-91-45-36",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"11-05-72-97",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"16-99-02-10",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"31-99-53-07",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"48-93-31-20",4,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"87-13-21-98",4,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"55-27-15-85",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"59-41-96-68",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"22-18-88-41",2,"Tiles","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"24-64-78-21",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"86-04-16-80",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
