interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"84-33-06-87",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"84-33-06-87",3,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"84-33-06-87",4,"Yes","No","No",,,"",2022,2022,,,,
"84-33-06-87",5,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"84-33-06-87",6,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"85-48-53-30",1,"No",,"No","No intention to migrate",,"",,,,,,
"61-17-81-33",1,"No",,"No","No intention to migrate",,"",,,,,,
"61-17-81-33",2,"No",,"No","No intention to migrate",,"",,,,,,
"61-17-81-33",3,"No",,"No","No intention to migrate",,"",,,,,,
"70-67-46-48",1,"No",,"No","No intention to migrate",,"",,,,,,
"70-67-46-48",2,"No",,"No","No intention to migrate",,"",,,,,,
"70-67-46-48",3,"No",,"No","No intention to migrate",,"",,,,,,
"70-67-46-48",4,"No",,"No","No intention to migrate",,"",,,,,,
"08-84-58-33",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"08-84-58-33",2,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"17-96-77-43",1,"Yes","No","No",,,"",2017,2022,,,,
"17-96-77-43",2,"No",,"No","No intention to migrate",,"",,,,,,
"17-96-77-43",3,"No",,"Yes","Yes temporarily migrate","Capital city","",2018,2020,,,,
"17-96-77-43",4,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"17-96-77-43",5,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"17-96-77-43",6,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"05-74-99-19",1,"No",,"No","No intention to migrate",,"",,,,,,
"05-74-99-19",2,"No",,"No","No intention to migrate",,"",,,,,,
"05-74-99-19",3,"No",,"No","No intention to migrate",,"",,,,,,
"05-74-99-19",4,"No",,"No","No intention to migrate",,"",,,,,,
"58-76-16-53",1,"No",,"No","No intention to migrate",,"",,,,,,
"58-76-16-53",2,"No",,"No","No intention to migrate",,"",,,,,,
"58-76-16-53",3,"Yes","Yes","No",,,"",2021,2023,9,4,0,
"58-76-16-53",4,"No",,"No","Yes permanently migrate","Capital city","",,,,,,
"58-76-16-53",5,"No",,"No","Yes permanently migrate","Capital city","",,,,,,
"14-93-43-30",1,"No",,"No","No intention to migrate",,"",,,,,,
"11-82-86-61",1,"No",,"No","No intention to migrate",,"",,,,,,
"03-50-12-90",1,"No",,"No","No intention to migrate",,"",,,,,,
"03-50-12-90",2,"No",,"No","No intention to migrate",,"",,,,,,
"03-50-12-90",3,"No",,"No","No intention to migrate",,"",,,,,,
"03-50-12-90",4,"No",,"No","No intention to migrate",,"",,,,,,
"81-28-91-79",1,"Yes","No","Yes",,,"",2019,2019,,,,
"81-28-91-79",3,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"87-17-87-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"87-17-87-24",2,"No",,"No","No intention to migrate",,"",,,,,,
"87-17-87-24",3,"No",,"No","No intention to migrate",,"",,,,,,
"87-17-87-24",4,"No",,"No","No intention to migrate",,"",,,,,,
"87-17-87-24",5,"No",,"No","No intention to migrate",,"",,,,,,
"87-17-87-24",8,"No",,"No","No intention to migrate",,"",,,,,,
"98-37-88-19",1,"Yes","No","No",,,"",2001,2023,,,,
"98-37-88-19",3,"Yes","No","No",,,"",1997,2023,,,,
"19-43-58-99",1,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"19-43-58-99",3,"No",,"Yes","Yes permanently migrate","Town outside region","",2022,2022,,,,
"85-30-41-56",1,"No",,"No","No intention to migrate",,"",,,,,,
"85-30-41-56",2,"No",,"No","No intention to migrate",,"",,,,,,
"85-30-41-56",3,"No",,"No","No intention to migrate",,"",,,,,,
