interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"43-14-97-16",4,12,,"","Male","Son/Daughter-In-Law","19",,"Basubiya",,"","Form 2","Yes",,"",,"","","","No",,
"49-90-63-33",1,12,,"","Female","Self/Head","48","Never Married","Subiya","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Had to help at home","",,"","","","No",,
"49-90-63-33",2,12,,"","Female","Niece/Nephew","25",,"Subiya",,"","University level",,,"",,"Botho","2021","Information Technology","No",,
"49-90-63-33",3,12,,"","Male","Child/Adopted Child","30",,"Subiya",,"","Standard 5","No","Too expensive","",,"","","","Yes","Yes","No"
"49-90-63-33",4,12,,"","Male","Child/Adopted Child","23",,"Subiya",,"","Standard 5","No","Poor academic progress","",,"","","","No",,
"49-90-63-33",5,12,,"","Female","Other Non-Relative","28",,"Hambukushu",,"","Standard 3","No","Too expensive","",,"","","","Yes","Yes","No"
"68-84-82-12",1,12,,"","Female","Self/Head","67","Widow/ Widower","Monanjwa","Catholic","","No formal education","No","Had to help with family","",,"","","","No",,
"68-84-82-12",2,12,,"","Female","Child/Adopted Child","43",,"Mosobeya",,"","No formal education","No","Sickness or calamity in family","",,"","","","No",,
"68-84-82-12",3,12,,"","Male","Child/Adopted Child","40",,"Mosobeya",,"","Standard 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"68-84-82-12",4,12,,"","Female","Child/Adopted Child","33",,"Mosobeya",,"","Standard 5","No","Too expensive","",,"","","","No",,
"68-84-82-12",5,11,"New arrivals - Education","","Male","Grandchild","18",,"Mosobeya",,"","Standard 5","Yes",,"",,"","","","No",,
"68-84-82-12",6,12,,"","Female","Grandchild","14",,"Mosarwa",,"","Standard 2","Yes",,"",,"","","","No",,
"68-84-82-12",7,12,,"","Male","Grandchild","13",,"Mokalaka",,"","Standard 1","Yes",,"",,"","","","No",,
"68-84-82-12",8,12,,"","Female","Grandchild","12",,"Mosobeya",,"","Standard 7","Yes",,"",,"","","","No",,
"68-84-82-12",9,12,,"","Female","Son/Daughter-In-Law","32",,"Motawana",,"","University level",,,"",,"Both University","2015","Information Technology","No",,
"68-84-82-12",10,12,,"","Male","Grandchild","1",,"Mosobeya",,"",,"No","Too expensive","",,"","","",,,
"25-99-22-65",1,12,,"","Female","Self/Head","45","Never Married","Subiya","Other➡️ Please specify","Christianity","Form 2","No","Poor academic progress","",,"","","","Yes","Yes","No"
"25-99-22-65",2,12,,"","Female","Sister/Brother","39",,"subiya",,"","Form 5","No","Poor academic progress","",,"","","","Yes","Yes","No"
"25-99-22-65",3,12,,"","Female","Sister/Brother","37",,"Subiya",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"25-99-22-65",4,12,,"","Male","Child/Adopted Child","26",,"subiya",,"","Form 5","No","Poor academic progress","",,"","","","No",,
"25-99-22-65",5,12,,"","Male","Child/Adopted Child","12",,"subiya",,"","Standard 5","Yes",,"",,"","","","No",,
"25-99-22-65",6,12,,"","Female","Niece/Nephew","6",,"subiya",,"","Standard 1","Yes",,"",,"","","",,,
