interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"82-85-64-69",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"82-85-64-69",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"82-85-64-69",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"82-85-64-69",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"22-02-04-35",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"00-91-45-36",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"00-91-45-36",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"16-99-02-10",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"31-99-53-07",1,"Yes",3,1,1,,4,1,2,4,20,0,0,,,0,0,1,0,0,0,0,0,0,""
"31-99-53-07",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"48-93-31-20",1,"Yes",0,0,,,0,0,,,54,6,6,5,9,54,1,2,0,0,0,0,0,3,"saving"
"48-93-31-20",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"87-13-21-98",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"55-27-15-85",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"59-41-96-68",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"59-41-96-68",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"59-41-96-68",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"59-41-96-68",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"22-18-88-41",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"24-64-78-21",1,"Yes",0,0,,,0,0,,,24,5,5,7,1,22,2,1,0,0,0,0,0,0,""
"24-64-78-21",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
