interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"51-50-93-70","No","No","Yes","No","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"43-24-35-84","No","Yes","Yes","No","Yes",5500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"89-88-34-15","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"14-85-25-58","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"46-82-10-07","No","Yes","Yes","Yes","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"80-79-44-48","No","No","Yes","Yes","Yes",200,"No","No","Yes","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"86-55-30-87","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"95-51-95-92","No","No","Yes","Yes","Yes",1500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"89-51-80-40","Yes","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"80-53-41-39","Yes","No","Yes","No","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"59-60-43-57","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"87-22-49-94","No","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"98-98-98-22","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-11-80-87","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-55-85-64","Yes","No","Yes","Yes","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No"
"61-35-56-51","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"57-52-43-19","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-14-69-76","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"72-36-49-36","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"80-82-49-42","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"47-81-87-67","No","No","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"55-33-21-42","No","Yes","Yes","No","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"42-50-27-40","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"74-79-87-37","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"32-64-27-45","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"43-28-98-57","No","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"28-12-52-92","No","No","No","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"98-31-37-04","Yes","No","Yes","Yes","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"50-46-09-53","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"48-80-48-31","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"59-69-31-11","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"68-17-57-15","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"65-67-13-71","No","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"14-98-70-62","No","No","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"25-90-19-11","Yes","Yes","No","No","Yes",380,"Yes","No","No","No","No","No","No","No","No","Yes",,"Yes","No",,,,,,,,,,,,
"45-83-41-38","No","No","Yes","No","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"95-39-93-93","No","No","Yes","No","No",,,,,,,,,,,,,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"61-12-40-36","No","No","No","No","Yes",50,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"11-71-40-81","Yes","Yes","Yes","No","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"36-42-18-14","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"19-03-38-46","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"92-48-70-16","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"34-14-49-72","No","No","Yes","No","Yes",1500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"22-89-40-33","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-39-45-84","No","Yes","Yes","Yes","Yes",3000,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"98-85-46-77","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-21-91-02","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"22-74-67-59","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"88-01-88-32","No","No","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
