interview__key,ctry,dist,village,local_name,interviewed_consent,res_head,res_rel,interview_possible
"58-42-18-32","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Sister","Yes"
"48-22-87-49","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"85-54-41-38","Botswana","Chobe","KAVIMBA","Legotlhwana",1,"Head of the household",,"Yes"
"91-10-07-30","Botswana","Chobe","MUCHINJE/MABELE","Muzee ward",1,"Head of the household",,"Yes"
"12-91-55-52","Botswana","Chobe","KAZUNGULA","New stands",1,"Head of the household",,"Yes"
"74-40-02-20","Botswana","Chobe","KAZUNGULA","New stance",1,"Head of the household",,"Yes"
"09-31-11-33","Botswana","Chobe","PANDAMATENGA","New Stance",1,"Representative of the head","Spouse","Yes"
"87-08-33-34","Botswana","chobe","PANDAMATENGA","new stance",1,"Representative of the head","Spouse","Yes"
"61-84-77-75","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"75-58-44-85","Botswana","Chobe","KAZUNGULA","Flowertown.",1,"Head of the household",,"Yes"
"11-16-18-86","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Son","Yes"
"04-26-72-23","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"54-13-05-65","Botswana","chobe","KAZUNGULA","new stance",1,"Head of the household",,"Yes"
"23-66-97-33","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"06-64-69-84","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"56-62-10-52","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Son","Yes"
"05-04-82-73","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Sister","Yes"
"03-81-35-88","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"87-65-62-49","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Daughter","Yes"
"95-74-95-07","Botswana","chobe","KACHIKAU","Lebodung",1,"Head of the household",,"Yes"
"51-31-85-01","Botswana","Chobe","KAZUNGULA","New Stance",1,"Representative of the head","Mother","Yes"
"51-50-93-70","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Head of the household",,"Yes"
"43-24-35-84","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"89-88-34-15","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"14-85-25-58","Botswana","chobe","KACHIKAU","Mabudutsa",1,"Head of the household",,"Yes"
"46-82-10-07","Botswana","Chobe","KAZUNGULA","Flowertown",1,"Head of the household",,"Yes"
"80-79-44-48","Botswana","Chobe","KACHIKAU","Kgosing",1,"Representative of the head","Daughter","Yes"
"86-55-30-87","Botswana","chobe","KACHIKAU","lebodu",1,"Representative of the head","Daughter","Yes"
"95-51-95-92","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Other female member","Yes"
"89-51-80-40","Botswana","Chobe","KAVIMBA","Riverside",1,"Representative of the head","Daughter","Yes"
"80-53-41-39","Botswana","Chobe","KACHIKAU","Mabudutsa",1,"Head of the household",,"Yes"
"59-60-43-57","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"87-22-49-94","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"98-98-98-22","Botswana","Chobe","KACHIKAU","Lebodu",1,"Head of the household",,"Yes"
"19-11-80-87","Botswana","CHOBE DISTRICT","KACHIKAU","LEBODUNG",1,"Head of the household",,"Yes"
"02-55-85-64","Botswana","Chobe","KACHIKAU","Lebodung",1,"Head of the household",,"Yes"
"61-35-56-51","Botswana","hobe","KACHIKAU","Mabudutsa",1,"Head of the household",,"Yes"
"57-52-43-19","Botswana","chobe","KACHIKAU","Lebodung",1,"Representative of the head","Spouse","Yes"
"39-14-69-76","Botswana","Chobe","KAZUNGULA","New stance",1,"Head of the household",,"Yes"
"72-36-49-36","Botswana","Chobe","KAVIMBA","Legotlhwana",1,"Representative of the head","Spouse","Yes"
"80-82-49-42","Botswana","Chobe","KACHIKAU","Lebodu",1,"Representative of the head","Daughter","Yes"
"47-81-87-67","Botswana","Chobe","KAZUNGULA","New Stance",1,"Head of the household",,"Yes"
"55-33-21-42","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"42-50-27-40","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"74-79-87-37","Botswana","Chobe","KACHIKAU","Lebudu",1,"Head of the household",,"Yes"
"32-64-27-45","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"43-28-98-57","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"28-12-52-92","Botswana","Chobe","KACHIKAU","Kgosing",1,"Head of the household",,"Yes"
"98-31-37-04","Botswana","chobe","KAZUNGULA","New stance",1,"Representative of the head","Spouse","Yes"
"50-46-09-53","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"48-80-48-31","Botswana","Chobe","KACHIKAU","Lebodung",1,"Head of the household",,"Yes"
"59-69-31-11","Botswana","chobe","KAZUNGULA","old kazungula",1,"Representative of the head","Other male member","Yes"
"68-17-57-15","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"65-67-13-71","Botswana","Chobe","KAZUNGULA","New stance",1,"Representative of the head","Other male relative","Yes"
"14-98-70-62","Botswana","Chobe","KACHIKAU","Lelobu",1,"Representative of the head","Spouse","Yes"
"25-90-19-11","Botswana","chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"45-83-41-38","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Sister","Yes"
"95-39-93-93","Botswana","Chobe","KACHIKAU","Lebudu",1,"Head of the household",,"Yes"
"61-12-40-36","Botswana","Chobe","KAZUNGULA","Old Kazungula",1,"Representative of the head","Niece","Yes"
"11-71-40-81","Botswana","chobe","KAZUNGULA","Old Kazungula",1,"Head of the household",,"Yes"
"36-42-18-14","Botswana","chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"19-03-38-46","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"92-48-70-16","Botswana","CHOBE DISTRICT","KAVIMBA","KAVIMBA CENTRAL",1,"Head of the household",,"Yes"
"34-14-49-72","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"22-89-40-33","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"37-39-45-84","Botswana","Chobe","KACHIKAU","Kebodung",1,"Representative of the head","Daughter","Yes"
"98-85-46-77","Botswana","Chobe","KAZUNGULA","new stance",1,"Head of the household",,"Yes"
"80-21-91-02","Botswana","Chobe","KAVIMBA","Kavimba Central",1,"Head of the household",,"Yes"
"22-74-67-59","Botswana","CHOBE DISTRICT","KACHIKAU","LEBODU WARD",1,"Head of the household",,"Yes"
"88-01-88-32","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Spouse","Yes"
"98-88-56-41","Botswana","Chobe","KASANE","Newtown",1,"Head of the household",,"Yes"
"84-73-38-30","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"93-79-44-00","Botswana","Chobe","KAZUNGULA","New stance",1,"Representative of the head","Spouse","Yes"
"26-07-22-36","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"55-76-99-68","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"38-33-66-67","Botswana","Chobe","KACHIKAU","Nthagodimo",1,"Head of the household",,"Yes"
"16-65-54-37","Botswana","Chobe","KAZUNGULA","New stands",1,"Representative of the head","Daughter","Yes"
