interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"65-48-87-48",1.7,9.859999999999999,.62,4.14,1.267822580645161,.11,4.946000000000001,3.212314049586777,25.04304709141274,3.89,1.05,7.757999999999999,.99,1.5,2.85,68.93718372164469,"00.00:51:33",51.55,"2023-05-30","08:19:17"
"54-94-74-75",2.519335180055402,7.93,.99,2.84,.11,.08,5.38,3.67,28.68,5.971184573002755,1.348925619834711,10.73,1.31,2.59,17.36199999999999,91.51144537289285,"00.01:16:31",76.51666666666667,"2023-05-26","11:41:02"
"70-40-01-04",1.88,9.44,.79,4.41,.27,.16,8.289999999999999,4.95,25.04304709141274,6.84,.75,9.390000000000001,2.55,2.739168975069252,3.11,80.61221606648199,"00.01:36:51",96.84999999999999,"2023-05-30","12:18:54"
"33-37-06-20",2,7.416,2.76,4.948055555555555,3.8,.13,7.64,1.38,15.208,3.79,.65,9.720000000000001,1.819612188365651,1.61,3.26,66.13166774392121,"00.01:03:09",63.15,"2023-06-05","12:12:38"
"11-89-65-58",4.531999999999998,33.78999999999999,1.71,5.82,.11,.13,6.59,4.24,23.14,4.78,1.348925619834711,13.23,1.33,1.62,2.46,104.8309256198347,"00.01:47:30",107.5,"2023-05-30","12:31:24"
"86-01-74-97",2.519335180055402,13.99,1.14,3.51,1.267822580645161,4.69,8.67,3,18.21,4.55,2.46,27.76,3.044,2.63,5.980828729281768,103.4219864899823,"00.01:48:07",108.1166666666667,"2023-05-30","07:04:06"
"18-63-27-64",1.4,8.17,1.479889502762431,4.948055555555555,.16,.25,4.946000000000001,3.212314049586777,21.29,5.971184573002755,1.81,7.757999999999999,1.819612188365651,1.7,3.33,68.24505586927317,"00.00:56:40",56.66666666666666,"2023-05-30","12:19:14"
"00-01-02-02",3.51,24.99,2.3,6.63,.12,8.279999999999999,6.41,1.19,23.74,3.89,1.53,11.51,1.74,1.01,2.36,99.20999999999999,"00.01:39:42",99.7,"2023-05-30","07:21:58"
"69-53-29-77",1.78,18.27792817679558,1.479889502762431,4.948055555555555,.2,3.74,15.33599999999999,4.62,25.04304709141274,5.971184573002755,1.348925619834711,14.83066666666667,2.75,2.739168975069252,5.15,108.2148661610997,"00.04:18:44",258.7333333333333,"2023-05-17","08:56:38"
"38-36-87-54",1.41,13.53,.51,2.82,.23,2.039313186813187,5.63,3.85,19.16,6,.49,10.21,2.64,2.48,4.32,75.31931318681319,"00.01:31:37",91.61666666666666,"2023-06-05","12:31:07"
"96-39-11-89",1.56,15.19,1.479889502762431,4.948055555555555,.39,8.279999999999999,6.54,2.17,25.07,3.79,1.348925619834711,7.757999999999999,.9399999999999999,.982,2.88,83.3268706781527,"00.01:25:43",85.71666666666667,"2023-06-05","12:13:21"
"62-05-75-13",2.519335180055402,19.67,2.69,3.42,8.519999999999989,.3,5.61,5.07,18.32,7.46,.44,9.199999999999999,1.819612188365651,1.78,4.34,91.15894736842104,"00.01:34:17",94.28333333333333,"2023-05-17","12:35:44"
"36-43-41-97",3.73,16.15,1.479889502762431,3.97,.2,.49,8.17,3.212314049586777,30.14,8.25,2.05,12.18,1.87,2.739168975069252,3.04,97.67137252741846,"00.01:55:57",115.95,"2023-05-18","13:03:42"
"12-03-37-86",1.62,14.53,2.11,5.19,1.267822580645161,.26,9.619999999999999,6.237999999999996,37.748,8.77,1.348925619834711,7.96,3.044,2.01,3.63,105.3467482004799,"00.02:19:31",139.5166666666667,"2023-05-22","07:45:44"
"33-44-32-83",1.75,17.33,1.67,5.22,.14,.1,11.32,3.82,25.92,6.93,.9,20.76,1.819612188365651,2.55,3.98,104.2096121883657,"00.01:52:48",112.8,"2023-05-18","12:45:56"
"39-65-48-99",2.519335180055402,7.63,.76,3.75,.16,2.039313186813187,4.946000000000001,3.212314049586777,15.6,4.12,.59,23.35,2.83,4.34,2.68,78.52696241645536,"00.01:07:45",67.75,"2023-06-05","08:31:56"
"85-43-95-57",2,22.96,1.64,3.53,.32,.28,8.08,1.19,18.2,5.03,1.41,7.78,1.45,.982,4.02,78.872,"00.01:20:34",80.56666666666666,"2023-05-18","12:53:19"
"07-73-56-26",2.6,18.27792817679558,1.479889502762431,4.948055555555555,1.267822580645161,.73,9.141722222222223,6.237999999999996,25.04304709141274,8.779999999999999,2.694,10.42,1.819612188365651,2.739168975069252,10.51,106.6892462928286,"00.03:37:22",217.3666666666667,"2023-05-18","06:54:38"
"00-16-25-60",2.519335180055402,7.54,1.57,2.734,.16,.25,6.35,2.45,28.02,5.68,.49,15.56,1.77,2.87,17.36199999999999,95.32533518005539,"00.01:24:10",84.16666666666667,"2023-06-05","08:14:48"
"05-35-63-46",2.21,29.82,2.74,4.62,.26,8.050000000000001,9.69,2.41,26.8,5.37,2.54,8.949999999999999,.9399999999999999,.982,3.31,108.692,"00.01:54:38",114.6333333333333,"2023-05-18","09:14:40"
"00-34-52-14",2.05,24.38,2.955999999999999,4.22,.18,7.65,9.09,4.24,22.88,7.81,1.348925619834711,11.97,1.21,1.16,6.44,107.5849256198347,"00.02:00:30",120.5,"2023-05-18","06:49:58"
"81-06-64-01",2.519335180055402,18.75,2.24,4.37,8.519999999999989,.14,5.98,1.76,25.04304709141274,9.029999999999999,1.348925619834711,16.13,1.28,3.87,3.22,104.2013078913028,"00.02:30:39",150.65,"2023-05-18","07:14:58"
"84-33-06-87",1.4,22.27,1.479889502762431,4.75,.19,.12,12.39,2.96,23.18,5.971184573002755,1.348925619834711,14.83066666666667,1.819612188365651,2.22,2.38,97.31027855063222,"00.01:54:21",114.35,"2023-05-18","09:58:32"
