interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"86-18-52-98","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Number of people has increased."
"59-98-46-38","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"87-83-58-77","Firewood",120,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase in population"
"87-83-58-77","Sand, stone, mud",1,"Other (please specify)","full canoe","No",,,"",,,"No",,"The same","The same","",""
"15-59-01-11","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Number of people has increased"
"15-59-01-11","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Cutting down of trees."
"74-82-76-84","Firewood",20,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people harvesting"
"08-93-57-76","Firewood",200,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","People building are cutting down the forest"
"70-90-57-92","Firewood",25,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","cutting trees"
"70-90-57-92","Sand, stone, mud",60,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"70-90-57-92","Wild fruits",2,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"50-31-04-37","Firewood",24,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","they are harvesting alot"
"50-31-04-37","Mushrooms",12,"Kilograms","","No",,,"",,,"No",,"The same","Massive decrease","",""
"67-02-08-74","Firewood",150,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting trees"
"67-02-08-74","Sand, stone, mud",10,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"67-02-08-74","Wild fruits",5,"Tins (eg milk tins)","","No",,,"",,,"No",,"The same","The same","",""
"53-15-78-38","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"53-15-78-38","Wild fruits",2,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"32-33-43-26","Firewood",336,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"32-33-43-26","Wild fruits",3,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"32-33-43-26","Mushrooms",8,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Number of people has increased."
"46-04-74-49","Firewood",15,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","We live in floodplain with few trees."
"35-13-76-39","Firewood",80,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"35-13-76-39","Sand, stone, mud",50,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"16-06-75-38","Firewood",40,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"16-06-75-38","Other➡️specify",30,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"27-27-07-57","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Most people in my village depend on firewood."
"02-68-96-18","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"02-68-96-18","Sand, stone, mud",150,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population increase"
"43-77-79-21","Firewood",20,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting trees"
"11-26-50-63","Firewood",100,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","cutting down trees"
"11-26-50-63","Sand, stone, mud",20,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"11-26-50-63","Wild fruits",2,"Tins (eg milk tins)","","No",,,"",,,"No",,"The same","The same","",""
"28-01-01-55","Firewood",50,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","more people are cutting down trees"
"28-01-01-55","Timber or poles",16,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"28-01-01-55","Other➡️specify",10,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"32-20-61-73","Firewood",150,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increased"
"20-30-02-96","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","People are cutting more trees down"
"20-30-02-96","Other➡️specify",1200,"Bale / Bundle","","Yes",1200,"Bale / Bundle","","No",30,"No",,"Slight decrease","Massive decrease","","People burning"
"91-05-38-43","Firewood",12,"Tonnes","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Because the neighbouring villages all use the same forest for wood"
"91-05-38-43","Sand, stone, mud",50,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"44-19-28-63","Firewood",8,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","We live in a floodplain and it has been long since we settled here."
"44-19-28-63","Wild fruits",10,"50 kg bag","","Yes",10,"50 kg bag","","No",6000,"No",,"Massive decrease","Massive decrease","","Alot of people harvesting them."
"72-93-96-93","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Number of people has increased"
