interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"11-29-18-58",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Lozi","","In their 40s",5,5
"11-29-18-58",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Lozi","","In their 40s",5,5
"11-29-18-58",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Lozi","","In their 60s",10,5
"53-42-47-52",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",3,3
"01-17-72-49",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",0,3
"01-17-72-49",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 30s",3,3
"01-17-72-49",3,"No","No","No","No","No","Yes","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 30s",3,3
"40-86-48-02",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 40s",12,10
"40-86-48-02",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Lozi","","In their 30s",25,25
"67-11-34-32",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",8,1
"67-11-34-32",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 60s",15,2
"47-85-49-06",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 60s",20,25
"68-03-09-51",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 40s",3,1
"14-68-63-82",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Subia","","In their 50s",25,28
"14-68-63-82",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Subia","","In their 50s",23,22
"80-91-19-12",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 60s",8,2
"80-91-19-12",2,"No","No","No","No","Yes","No","Yes","No","No","No","No","No",,"Men","Mafwe","","&gt;70",15,3
"25-98-38-14",1,"No","No","No","No","Yes","No","No","No","No","Yes","No","No",,"Women","Mafwe","","&gt;70",2,6
"25-98-38-14",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Mafwe","","In their 40s",0,6
