interview__key,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"55-14-49-61","No","Yes","No","No","No","No",,120,600,10,"Communally owned",-88,"No",,20,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"94-26-98-86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"32-96-01-37","No","No","Yes","No","No","No",,120,960,6,"Communally owned",8,"No",,1999,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","Yes",,"No","No","No",""
"41-92-38-71","No","Yes","No","No","No","No",,60,540,10,"Communally owned",9,"No",,23,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No",,"wildlife conflict"
"43-40-50-14","No","Yes","No","No","No","No",,60,540,10,"Communally owned",8,"No",,25,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No",,"wildlife conflict"
"33-52-73-44","No","Yes","No","No","No","No",,60,540,10,"Communally owned",9,"No",,46,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No",,"wildlife conflict"
"17-65-44-15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"77-00-14-73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"78-98-94-60","No","No","Yes","No","No","No",,130,60,0,"Private owned with land title",-88,"No",,20,,,,,,,,,,,,,,,,,,,,"","No","No","Yes","No","No","No","No","No",,"No","No","No",""
"50-51-12-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
