interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"66-26-16-39",300,0,0,0,1800,0,0,0
"74-47-09-34",0,0,0,0,0,0,0,0
"74-42-03-33",,,,,,,,
"24-64-36-53",258,0,0,250,0,0,0,0
"39-16-84-49",1500,0,0,0,1500,0,0,0
"65-82-18-72",6000,0,0,5300,15000,0,0,0
"98-04-19-51",,,,,,,,
"33-66-03-17",,,,,,,,
"23-12-49-21",,,,,,,,
"95-95-21-82",0,0,0,0,200,0,0,0
"84-16-65-13",700,0,0,0,3000,0,0,0
"35-36-66-35",100,0,0,0,1200,0,0,0
"22-48-72-19",,,,,,,,
"16-02-48-49",0,0,0,0,0,0,0,0
"88-09-49-72",,,,,,,,
"46-87-53-18",0,0,0,0,0,0,0,0
"24-20-26-70",0,0,0,0,0,0,360,0
"52-82-33-48",500,0,0,0,0,0,1000,0
"26-48-97-52",500,0,0,0,0,0,800,0
"33-86-77-56",0,0,0,0,1000,0,0,0
"78-86-05-10",,,,,,,,
"15-96-39-00",,,,,,,,
"39-41-06-02",0,0,0,0,0,0,0,0
"95-15-78-87",0,0,0,0,0,0,0,0
"52-97-51-26",,,,,,,,
"02-78-29-37",,,,,,,,
"27-36-10-42",,,,,,,,
"45-97-40-37",,,,,,,,
"41-24-37-83",0,0,0,0,1600,0,0,500
"90-44-42-58",500,0,0,0,3000,0,0,0
"15-49-26-93",,,,,,,,
"29-96-24-29",,,,,,,,
"88-98-18-23",800,0,0,0,0,0,140,0
"03-33-61-52",1000,0,0,1800,2500,0,0,0
"95-42-30-88",0,0,0,0,0,0,0,0
"41-58-71-65",,,,,,,,
"47-41-93-44",0,0,0,0,0,0,0,0
"44-97-44-34",2000,0,0,0,3500,0,1000,0
"39-60-71-79",0,0,0,600,0,0,0,200
"02-67-41-60",,,,,,,,
"83-56-74-03",2160,0,0,0,0,0,0,0
"04-28-47-30",,,,,,,,
"01-68-97-25",3120,0,0,0,20000,0,0,0
"66-08-16-26",500,0,0,0,2000,0,0,0
"93-32-02-54",500,0,0,0,0,0,0,0
"83-94-17-95",,,,,,,,
"60-60-16-78",,,,,,,,
"26-78-47-00",,,,,,,,
"79-98-45-89",,,,,,,,
"90-54-49-60",4300,0,0,7800,6000,0,280,0
"31-84-01-85",1850,0,0,0,860,0,0,0
"40-47-23-70",300,0,0,0,0,0,0,0
"97-69-93-58",0,0,0,0,0,0,0,500
