interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,ha07_other,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"13-16-89-71",1,12,,"","Male","Self/Head",31,"Divorced /Separated","Subia","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 2","No","Poor academic progress","",,"","","","Yes","Yes","No"
"13-16-89-71",2,12,,"","Male","Other Relative",21,"Never Married","Mafwe","","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"university of Namibia","2023","teaching","No",,
"56-66-41-20",1,12,,"","Female","Self/Head",80,"Widow/ Widower","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Primary 6","No","Other","when the parents passed away she left school because there was no one to take care of her.",,"","","","No",,
"56-66-41-20",2,12,,"","Male","Grandchild",26,"Never Married","Lozi","","Protestant demoninantions (incl all non-catholic denominations)","","Secondary school Year 4","No","Completed desired schooling","",,"","","","No",,
"81-47-86-65",1,12,,"","Male","Self/Head",55,"Divorced /Separated","Other, Specify","Totela","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"81-47-86-65",2,12,,"","Male","Child/Adopted Child",16,"Never Married","Other, Specify","Totela","Other➡️ Please specify","New Apostolic","Primary 7","Yes",,"",,"","","","No",,
"81-47-86-65",3,12,,"","Male","Child/Adopted Child",18,"Never Married","Other, Specify","Totela","Other➡️ Please specify","New Apostolic","Secondary school Year 1","Yes",,"",,"","","","No",,
"81-47-86-65",4,12,,"","Male","Child/Adopted Child",24,"Never Married","Other, Specify","Totela","Other➡️ Please specify","New Apostolic","Secondary school Year 3","No","Not willing to attend further","",,"","","","No",,
"93-67-97-18",1,12,,"","Male","Child/Adopted Child",33,"Divorced /Separated","Other, Specify","Totela","Other➡️ Please specify","New Apostolic","Secondary school Year 3","No","Poor academic progress","",,"","","","Yes","No","Yes"
"93-67-97-18",2,12,,"","Male","Grandchild",6,,,"",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"93-67-97-18",3,12,,"","Male","Grandchild",4,,,"",,"",,"No","Other","Still under age to start school",,"","","",,,
"93-67-97-18",4,12,,"","Female","Grandchild",1,,,"",,"",,"No","Other","Still under age",,"","","",,,
"38-26-42-37",1,12,,"","Male","Self/Head",40,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 3","No","Not willing to attend further","",,"","","","No",,
"38-26-42-37",2,12,,"","Female","Wife/Husband",38,"Married monogamously","Subia","","Other➡️ Please specify","New Apostolic","Secondary school Year 4","No","Not willing to attend further","",,"","","","No",,
