interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"57-56-64-78",5,100,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"79-27-11-92",,,,"",,"",,,,,,,,,,,,
"01-06-16-47",113,113,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"80-39-36-38",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"96-17-52-94",,,,"",,"",,,,,,,,,,,,
"67-51-54-29",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"94-25-30-28",,,,"",,"",,,,,,,,,,,,
"99-05-99-45",60,60,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"55-49-77-29",120,120,"Market in this village","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"59-94-70-54",31,31,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"18-48-78-90",,,,"",,"",,,,,,,,,,,,
"91-78-23-71",,,,"",,"",,,,,,,,,,,,
"79-02-43-99",,,,"",,"",,,,,,,,,,,,
"05-99-22-70",120,120,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"19-70-78-40",,,,"",,"",,,,,,,,,,,,
"24-76-11-61",2,2,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"01-56-68-49",115,115,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"48-81-58-75",,,,"",,"",,,,,,,,,,,,
"88-17-46-63",,,,"",,"",,,,,,,,,,,,
"64-24-89-62",,,,"",,"",,,,,,,,,,,,
"79-97-16-20",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"22-78-59-76",,,,"",,"",,,,,,,,,,,,
"68-66-94-81",113,113,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"55-05-77-24",,,,"",,"",,,,,,,,,,,,
"96-11-62-92",,,,"",,"",,,,,,,,,,,,
"78-34-55-08",,,,"",,"",,,,,,,,,,,,
"62-52-92-33",125,125,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"11-84-22-34",113,113,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"75-25-19-33",120,120,"Market in this village","","No","","No",,,,,,,,,,,
"25-28-42-89",,,,"",,"",,,,,,,,,,,,
"17-22-63-49",,,,"",,"",,,,,,,,,,,,
"75-11-04-39",140,140,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"42-13-72-77",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"22-71-31-86",110,110,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"72-79-67-76",8,8,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"55-61-00-58",,,,"",,"",,,,,,,,,,,,
"83-84-11-33",164,164,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"57-06-39-78",140,140,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"28-44-47-60",170,170,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"99-83-86-30",45,45,"Urban market (town) in this region","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"95-87-87-82",,,,"",,"",,,,,,,,,,,,
"51-10-14-61",,,,"",,"",,,,,,,,,,,,
"38-80-77-22",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"32-85-49-35",,,,"",,"",,,,,,,,,,,,
"67-57-93-16",130,130,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
