interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"89-17-95-50","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No",,160,,,,,,,,,,
"71-12-87-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-78-86-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-03-26-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"83-62-75-30","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,32,,,,,,,,,,
"39-30-68-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-67-10-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-90-13-56","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,50,,,,,,,,,,
"38-81-07-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-17-63-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-87-36-18","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,260,,,,,,,,,,
"37-47-43-04","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,120,,,,,,,,,,
"19-94-92-45","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-51-77-20","Yes","Yes",,"No","No","No","No","No","Yes","No","No","No","No","No","No","No",,40,,,,,,,,,,
"14-21-66-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-12-38-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-71-23-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-86-92-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-52-71-81","Yes","No","1001-1500 m","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,130,,,,,,,,,,
"88-09-14-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
