interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"85-15-56-74","Strongly agree","Agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"99-52-45-97","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Slightly worried","Very worried","Worried"
"22-42-05-31","Strongly agree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Strongly agree","Disagree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","trust","strongly trust","indifferent","indifferent","distrust","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"17-88-76-49","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Worried","Not at all worried","Worried","Not at all worried","Very worried","Very worried"
"95-93-26-61","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"66-25-20-13","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Disagree","Disagree","Disagree","trust","trust","indifferent","indifferent","distrust","Extremely worried","Extremely worried","Extremely worried","Worried","Slightly worried","Extremely worried","Extremely worried","Not at all worried","Extremely worried","Not at all worried"
"56-49-46-49","Indifferent (neither nor)","Agree","Agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Indifferent (neither nor)","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","strongly trust","strongly trust","strongly trust","strongly trust","indifferent","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Slightly worried","Worried"
"00-63-35-41","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","indifferent","Worried","Very worried","Very worried","Worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried"
"35-73-88-21","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Worried"
"90-22-40-74","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","indifferent","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Very worried","Very worried","Very worried"
"71-58-33-81","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Indifferent (neither nor)","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Disagree","Strongly disagree","strongly distrust","strongly distrust","strongly distrust","strongly distrust","strongly distrust","Not at all worried","Not at all worried","Not at all worried","Worried","Very worried","Very worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried"
