interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"24-76-11-61","No",,,,,,,,,,,"",,2,,"No"
"01-56-68-49",,,,,,,,,,,,"",,,,
"48-81-58-75",,,,,,,,,,,,"",,,,
"88-17-46-63",,,,,,,,,,,,"",,,,
"64-24-89-62","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",.1,400,"No"
"79-97-16-20",,,,,,,,,,,,"",,,,
"22-78-59-76",,,,,,,,,,,,"",,,,
"68-66-94-81",,,,,,,,,,,,"",,,,
"55-05-77-24","Yes","No","No","No","No","No","No","No","Yes",,"Other➡️ Please specify","To people within the community","Market in this village",2,5000,"No"
"96-11-62-92","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",2,2000,"No"
"78-34-55-08",,,,,,,,,,,,"",,,,
"62-52-92-33",,,,,,,,,,,,"",,,,
"11-84-22-34",,,,,,,,,,,,"",,,,
"75-25-19-33",,,,,,,,,,,,"",,,,
"25-28-42-89",,,,,,,,,,,,"",,,,
"17-22-63-49",,,,,,,,,,,,"",,,,
"75-11-04-39","No",,,,,,,,,,,"",,15,,"No"
"42-13-72-77","No",,,,,,,,,,,"",,.7,,"No"
"22-71-31-86",,,,,,,,,,,,"",,,,
"72-79-67-76","No",,,,,,,,,,,"",,8,,"No"
"55-61-00-58",,,,,,,,,,,,"",,,,
"83-84-11-33","No",,,,,,,,,,,"",,1,,"No"
"57-06-39-78","No",,,,,,,,,,,"",,45,,"No"
"28-44-47-60",,,,,,,,,,,,"",,,,
"99-83-86-30","No",,,,,,,,,,,"",,45,,"No"
"95-87-87-82",,,,,,,,,,,,"",,,,
"51-10-14-61",,,,,,,,,,,,"",,,,
"38-80-77-22","No",,,,,,,,,,,"",,1,,"No"
"32-85-49-35",,,,,,,,,,,,"",,,,
"67-57-93-16",,,,,,,,,,,,"",,,,
"66-09-29-33","No",,,,,,,,,,,"",,60,,"No"
"88-76-61-78",,,,,,,,,,,,"",,,,
"45-30-93-43","No",,,,,,,,,,,"",,5,,"No"
"39-72-47-05",,,,,,,,,,,,"",,,,
"91-78-19-91","No",,,,,,,,,,,"",,1,,"No"
"80-88-34-81",,,,,,,,,,,,"",,,,
"00-93-28-41","No",,,,,,,,,,,"",,.1,,"No"
"15-34-12-49",,,,,,,,,,,,"",,,,
"57-48-46-10","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",40,1500,"No"
"17-87-43-63","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",1,3000,"No"
"11-23-87-11","No",,,,,,,,,,,"",,65,,"No"
"33-90-70-88",,,,,,,,,,,,"",,,,
"42-88-20-46","No",,,,,,,,,,,"",,10,,"No"
"56-60-42-49",,,,,,,,,,,,"",,,,
"06-49-16-95",,,,,,,,,,,,"",,,,
"14-59-43-81","No",,,,,,,,,,,"",,120,,"No"
"43-19-04-75",,,,,,,,,,,,"",,,,
"25-55-58-39",,,,,,,,,,,,"",,,,
"56-55-71-21",,,,,,,,,,,,"",,,,
"26-16-97-29","No",,,,,,,,,,,"",,31,,"No"
"94-40-34-45",,,,,,,,,,,,"",,,,
