interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"24-82-46-82",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"21-42-97-88",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"87-09-20-52",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"68-10-75-89",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"43-52-85-97",0,"Iron sheets","","Mud with poles","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"00-31-45-58",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"89-47-55-13",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"86-75-09-05",1,"Iron sheets","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"70-15-38-18",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"13-43-56-11",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"41-78-59-34",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"76-42-64-83",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"60-08-55-10",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"09-76-96-87",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"24-13-90-91",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"79-64-90-22",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"88-15-47-53",1,"Thatched grass","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"74-17-56-50",2,"Iron sheets","","Mud with poles","","Sand","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"65-73-74-13",4,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"78-26-64-75",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"57-56-64-78",1,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"79-27-11-92",3,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
