interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"70-21-00-12",4,"Hectares","","Impalila",.5,"1993","Inherited",6,"Silt",0,1,1,0,0,0,0,"",0,0,0,0,0,1,0,"",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"","Yes",1,0,0,0,0,0,""
"09-96-00-56",1,"Hectares","","Gubugubu",6,"2021","Inherited",120,"Sand",0,0,0,0,0,1,0,"",0,0,0,0,0,0,1,"too sandy ,less water kept by the soil",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,1,0,0,0,0,""
"93-46-32-90",1,"Hectares","","nandabu",5,"2008","Inherited",30,"Silt",1,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,0,0,1,0,0,""
"39-76-52-63",1,"Hectares","","Dorica",4,"2017","Ceded by relatives",60,"Sand",0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"","Yes",0,0,0,1,0,0,""
"44-39-76-83",1,"Hectares","","nandabu",4,"2005","Inherited",30,"Silt",1,0,0,0,0,0,0,"",0,1,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"57-92-68-31",1,"Hectares","","Mukutulo",4,"2013","Inherited",30,"Sand",0,0,0,1,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"70-75-80-97",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"37-91-43-52",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"93-94-95-33",1,"Hectares","","Itantwe",2,"2020","Ceded by relatives",60,"Silt",1,0,0,0,0,0,0,"",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","No",,,,,,,""
"50-37-72-10",1,"Hectares","","Kwikalo",500,"2020","Inherited",10,"Sand",0,0,0,0,0,0,1,"sandy soil is good for mahangu",0,0,0,0,0,0,1,"It's not good to plough maize and elephants are always destroying the crops",0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"","Yes",1,0,1,0,0,0,""
