interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"98-20-22-18","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","Yes","No","No",,2,"Yes","No",,"No",,,,,,"Yes","Yes","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"12-87-62-64","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"02-24-60-64","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"35-93-85-84","Murram/ gravel road","Well passable","No","Yes","Yes","Yes","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","No","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"25-08-98-52","Murram/ gravel road","Well passable","No","Yes","Yes","No","Yes","No","No","No",,1,"Yes","Yes","Yes","No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"46-54-30-66","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"19-66-62-79","Dirt road/ bush road","Well passable","Yes","No","Yes","Yes","Yes","No","Yes","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"38-52-59-99","Tarmac road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,3,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"18-01-52-21","Tarmac road","Well passable","Yes","Yes","Yes","No","Yes","Yes","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","Yes","No","No","No",
"52-91-87-71","Murram/ gravel road","Well passable","No","Yes","Yes","Yes","Yes","No","No","No",,2,"Yes","Yes","Yes","No",,,,,,"Yes","Yes","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"86-58-98-12","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"18-53-78-30","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"21-70-10-93","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","No",,6,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"51-51-64-02","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"65-04-27-87","Murram/ gravel road","Well passable","No","No","Yes","Yes","Yes","No","Yes","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"26-67-17-34","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","Yes","No","No","No",,"Yes","Yes","No","No","No","No","Yes",
"12-55-61-25","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"70-21-00-12","Murram/ gravel road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,6,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"09-96-00-56","Dirt road/ bush road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"93-46-32-90","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"39-76-52-63","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"44-39-76-83","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"57-92-68-31","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","No","Yes","Yes","No","No","No",,"Yes","Yes","No","No","No","No","No",
"70-75-80-97","Dirt road/ bush road","Well passable","No","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"37-91-43-52","Dirt road/ bush road","Almost not passable","No","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"93-94-95-33","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","No","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"50-37-72-10","Tarmac road","Well passable","Yes","Yes","Yes","No","Yes","No","Yes","No",,2,"Yes","No",,"No",,,,,,"No","Yes","No","No","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
